# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
   61       2.542883998132e-10       3.319529185519e-03       1.750755269424e-03       3.092136637062e-04       6.506193731118e-05       3.932312635123e-04       4.121141819204e-03       1.410558587450e-03       1.376975797764e-04       4.194516124409e-04       3.392628409358e-03       1.145115242308e-03       6.678435393828e-04       2.248323349329e-03       1.065984314444e-03       1.060303558901e-03 
   62       2.684449802915e-10       3.378574239680e-03       1.781755231858e-03       3.151354907286e-04       6.636072045388e-05       4.000039967111e-04       4.191339220125e-03       1.436775838060e-03       1.406116095611e-04       4.270399387535e-04       3.459038656699e-03       1.170419618546e-03       6.818641835628e-04       2.300960378566e-03       1.091994422337e-03       1.087848688604e-03 
   63       2.826887465009e-10       3.437479282761e-03       1.812935822190e-03       3.209925196228e-04       6.764641348310e-05       4.067493668124e-04       4.261424379307e-03       1.462697811543e-03       1.434904641994e-04       4.346040985321e-04       3.524624385503e-03       1.195427418031e-03       6.957192480768e-04       2.353147854153e-03       1.117808752458e-03       1.115297260550e-03 
   64       2.963051828758e-10       3.496208754707e-03       1.844330886570e-03       3.267906271007e-04       6.891907058288e-05       4.134666615148e-04       4.331492233974e-03       1.488346192761e-03       1.463354154567e-04       4.421518591825e-04       3.589405063666e-03       1.220136616930e-03       7.094105196022e-04       2.404867391160e-03       1.143416336500e-03       1.142635438185e-03 
   65       3.084931163495e-10       3.554720452750e-03       1.875975016598e-03       3.325368438321e-04       7.017885635536e-05       4.201548302117e-04       4.401645117454e-03       1.513746981467e-03       1.491482436008e-04       4.496917880988e-04       3.653408759714e-03       1.244548292622e-03       7.229416153146e-04       2.456104841464e-03       1.168808183043e-03       1.169850751611e-03 
   66       3.183614317624e-10       3.612965125174e-03       1.907903468321e-03       3.382393938258e-04       7.142604934240e-05       4.268124527180e-04       4.471992826511e-03       1.538930629523e-03       1.519312575003e-04       4.572332660657e-04       3.716672442315e-03       1.268666755840e-03       7.363180545077e-04       2.506850488602e-03       1.193977374507e-03       1.196932172070e-03 
   67       3.249257872698e-10       3.670886065070e-03       1.940152081223e-03       3.439077338092e-04       7.266104554719e-05       4.334377079969e-04       4.542652688665e-03       1.563932178113e-03       1.546873147233e-04       4.647865006622e-04       3.779242279797e-03       1.292499682825e-03       7.495473302141e-04       2.557099242614e-03       1.218919164091e-03       1.223870186437e-03 
   68       3.273558245103e-10       3.728426124540e-03       1.972753723426e-03       3.495515362163e-04       7.388429086237e-05       4.400287184819e-04       4.613739530391e-03       1.588787710365e-03       1.574194201048e-04       4.723615262251e-04       3.841168219199e-03       1.316056277473e-03       7.626377505697e-04       2.606848503077e-03       1.243630076234e-03       1.250656221442e-03 
   69       3.257823082404e-10       3.785551315720e-03       2.005726971932e-03       3.551773108273e-04       7.509605458325e-05       4.465847339640e-04       4.685333070790e-03       1.613522567825e-03       1.601293820665e-04       4.799649384801e-04       3.902485778379e-03       1.339341029946e-03       7.755945301931e-04       2.656090809833e-03       1.268104779595e-03       1.277280614377e-03 
   70       3.206483852932e-10       3.842231284134e-03       2.039084982639e-03       3.607911661831e-04       7.629661611793e-05       4.531051325129e-04       4.757504011608e-03       1.638160981862e-03       1.628189188870e-04       4.876025192988e-04       3.963231085625e-03       1.362358924980e-03       7.884230318401e-04       2.704820046296e-03       1.292338751705e-03       1.303734363129e-03 
   71       3.124766264009e-10       3.898432098812e-03       2.072838594389e-03       3.663998175511e-04       7.748633369306e-05       4.595890448277e-04       4.830323364253e-03       1.662729589212e-03       1.654900652941e-04       4.952801793030e-04       4.023446424149e-03       1.385117380278e-03       8.011299660208e-04       2.753033772288e-03       1.316329289583e-03       1.330009796874e-03 
   72       3.018721481183e-10       3.954116035835e-03       2.106996159117e-03       3.720105992870e-04       7.866564605721e-05       4.660353325701e-04       4.903862258828e-03       1.687257474958e-03       1.681451817829e-04       5.030039453485e-04       4.083180385303e-03       1.407626328280e-03       8.137234311558e-04       2.800733359253e-03       1.340075581197e-03       1.356100633938e-03 
   73       2.895257347466e-10       4.009241361874e-03       2.141563372002e-03       3.776314771977e-04       7.983507418425e-05       4.724425666965e-04       4.978191753171e-03       1.711776215515e-03       1.707869639332e-04       5.107799480088e-04       4.142488021797e-03       1.429898297924e-03       8.262129537320e-04       2.847924125461e-03       1.363578776928e-03       1.382002039654e-03 
   74       2.762169602562e-10       4.063762117739e-03       2.176543101619e-03       3.832710609040e-04       8.099522297666e-05       4.788090057910e-04       5.053382641889e-03       1.736319921608e-03       1.734184517276e-04       5.186144090590e-04       4.201431000905e-03       1.451948496411e-03       8.386095284591e-04       2.894615471224e-03       1.386842061031e-03       1.407710684218e-03 
   75       2.628173102110e-10       4.117627901918e-03       2.211935220087e-03       3.889386162025e-04       8.214678296896e-05       4.851325743986e-04       5.129505265395e-03       1.760925281253e-03       1.760430388691e-04       5.265136289595e-04       4.260077757688e-03       1.473794890969e-03       8.509256584253e-04       2.940821014099e-03       1.409870723099e-03       1.433224800547e-03 
   76       2.501659548352e-10       4.170790470395e-03       2.247735899997e-03       3.946431937447e-04       8.329046397439e-05       4.914111726369e-04       5.206622943651e-03       1.785628396555e-03       1.786641088351e-04       5.344833506810e-04       4.318497894728e-03       1.495456235147e-03       8.631741399535e-04       2.986556280543e-03       1.432671007653e-03       1.458543428767e-03 
   77       2.386640140850e-10       4.223225404016e-03       2.283935732630e-03       4.003908043082e-04       8.442677829073e-05       4.976437181122e-04       5.284771317156e-03       1.810454533164e-03       1.812838458218e-04       5.425267449155e-04       4.376743863682e-03       1.516945551443e-03       8.753640725828e-04       3.031830996020e-03       1.455246262766e-03       1.483663862730e-03 
   78       2.286116330133e-10       4.274914017367e-03       2.320520956409e-03       4.061867484894e-04       8.555622087206e-05       5.038292555198e-04       5.363974874240e-03       1.835426570986e-03       1.839042228908e-04       5.506460330121e-04       4.434866206112e-03       1.538275603229e-03       8.875041910627e-04       3.076655628075e-03       1.477600215694e-03       1.508583840806e-03 
