#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]        
       1.002169626184e+00       2.166260509907e-06      -1.204749351672e+00       1.477819649106e-03       5.440874777550e-09       1.360218694387e-08       1.974791671386e-15       2.720437388775e-09      -9.035620137538e-01       1.477819649106e-03       6.011346698220e-01       6.990597913906e-01      -1.204749350913e+00       1.477494082922e-03       1.977032217834e-04      -9.035620149314e-01       1.478493046390e-03      -1.204756766120e+00       1.477503208798e-03       1.977044343702e-04       3.333333189264e-01 
       1.002549340335e+00       2.167082806831e-06      -1.204751640541e+00       1.478379327402e-03       5.447068204685e-09       1.361767051171e-08       1.978540830484e-15       2.723534102342e-09      -9.035637304059e-01       1.478379327403e-03       6.011345320371e-01       6.990594062583e-01      -1.204751639617e+00       1.478053390689e-03       1.978528409254e-04      -9.035637318394e-01       1.479053489759e-03      -1.204759054492e+00       1.478062519619e-03       1.978540543698e-04       3.333333189154e-01 
       1.002929054487e+00       2.167905104904e-06      -1.204753929118e+00       1.478939004376e-03       5.453266330897e-09       1.363316582724e-08       1.982295684069e-15       2.726633165448e-09      -9.035654468383e-01       1.478939004376e-03       6.011343942945e-01       6.990590212701e-01      -1.204753928029e+00       1.478612696853e-03       1.980025166652e-04      -9.035654485279e-01       1.479613932383e-03      -1.204761342306e+00       1.478621828510e-03       1.980037309237e-04       3.333333189045e-01 
       1.003308768639e+00       2.168727404127e-06      -1.204756217402e+00       1.479498680026e-03       5.459469157970e-09       1.364867289492e-08       1.986056238630e-15       2.729734578985e-09      -9.035671630517e-01       1.479498680027e-03       6.011342565966e-01       6.990586364257e-01      -1.204756216148e+00       1.479172001412e-03       1.981522490026e-04      -9.035671649977e-01       1.480174374262e-03      -1.204763629605e+00       1.479181135524e-03       1.981534640390e-04       3.333333188935e-01 
       1.003688482791e+00       2.169549704500e-06      -1.204758505396e+00       1.480058354354e-03       5.465676687688e-09       1.366419171922e-08       1.989822500662e-15       2.732838343844e-09      -9.035688790470e-01       1.480058354355e-03       6.011341189469e-01       6.990582517249e-01      -1.204758503976e+00       1.479731304368e-03       1.983020379374e-04      -9.035688812497e-01       1.480734815398e-03      -1.204765916458e+00       1.479740440743e-03       1.983032537260e-04       3.333333188826e-01 
       1.004751938505e+00       2.171852706247e-06      -1.204764911784e+00       1.481625812896e-03       5.483087001168e-09       1.370771750292e-08       2.000401006260e-15       2.741543500584e-09      -9.035736838378e-01       1.481625812897e-03       6.011337337347e-01       6.990571750646e-01      -1.204764909899e+00       1.481297721322e-03       1.987218491990e-04      -9.035736867611e-01       1.482304424598e-03      -1.204772319642e+00       1.481306864020e-03       1.987230670940e-04       3.333333188519e-01 
       1.005815394220e+00       2.174155717013e-06      -1.204771315928e+00       1.483193261071e-03       5.500534254336e-09       1.375133563584e-08       2.011024474002e-15       2.750267127168e-09      -9.035784869460e-01       1.483193261072e-03       6.011333490863e-01       6.990560995209e-01      -1.204771313578e+00       1.482864125701e-03       1.991421043923e-04      -9.035784905921e-01       1.483874027976e-03      -1.204778722856e+00       1.482873277516e-03       1.991433247706e-04       3.333333188212e-01 
       1.006878849935e+00       2.176458736798e-06      -1.204777717860e+00       1.484760698886e-03       5.518018486387e-09       1.379504621597e-08       2.021693047192e-15       2.759009243194e-09      -9.035832883952e-01       1.484760698887e-03       6.011329650297e-01       6.990550250858e-01      -1.204777715042e+00       1.484430517509e-03       1.995628035130e-04      -9.035832927664e-01       1.485443625542e-03      -1.204785126718e+00       1.484439681965e-03       1.995640268506e-04       3.333333187904e-01 
       1.007942305650e+00       2.178761765602e-06      -1.204784117611e+00       1.486328126346e-03       5.535539736517e-09       1.383884934129e-08       2.032406869441e-15       2.767769868258e-09      -9.035880882080e-01       1.486328126347e-03       6.011325814149e-01       6.990539517517e-01      -1.204784114324e+00       1.485996896750e-03       1.999839465569e-04      -9.035880933066e-01       1.487013217308e-03      -1.204791528554e+00       1.486006074048e-03       1.999851728844e-04       3.333333187596e-01 
       1.009005761365e+00       2.181064803425e-06      -1.204790515205e+00       1.487895543456e-03       5.553098043917e-09       1.388274510979e-08       2.043166084662e-15       2.776549021958e-09      -9.035928864037e-01       1.487895543457e-03       6.011321981429e-01       6.990528795123e-01      -1.204790511448e+00       1.487563263427e-03       2.004055335199e-04      -9.035928922320e-01       1.488582803282e-03      -1.204797926604e+00       1.487572451562e-03       2.004067625709e-04       3.333333187288e-01 
