# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
   29       1.162847655812e-10       1.237125312410e-03       5.914011561043e-04       8.115004279645e-05       1.752645074440e-05       1.373071506846e-04       1.365708483534e-03       3.988516434155e-04       2.924398483143e-05       1.245129386842e-04       9.740432473123e-04       2.814028958238e-04       1.702405167302e-04       5.728463578808e-04       2.527607732989e-04       2.461798426649e-04 
   30       1.171630032129e-10       1.294825525992e-03       6.273532692526e-04       8.777530198781e-05       1.878701206425e-05       1.441443512471e-04       1.449213925737e-03       4.276648538429e-04       3.220952227064e-05       1.328281913762e-04       1.039472442947e-03       3.034474017964e-04       1.830848576567e-04       6.140165528866e-04       2.722394230705e-04       2.649542722186e-04 
   31       1.186814047628e-10       1.351894119549e-03       6.633329577260e-04       9.452081476044e-05       2.006360755217e-05       1.509465318768e-04       1.533220649548e-03       4.569359936807e-04       3.523605182550e-05       1.412150872726e-04       1.106150530990e-03       3.260593370337e-04       1.962198150517e-04       6.563027242202e-04       2.922919149772e-04       2.843094376888e-04 
   32       1.215010515399e-10       1.408313953502e-03       6.992532699228e-04       1.013682313991e-04       2.135405560208e-05       1.577080831794e-04       1.617530885536e-03       4.865950342140e-04       3.831574324207e-05       1.496533910743e-04       1.173951398519e-03       3.491963183980e-04       2.096191814895e-04       6.996465294691e-04       3.128890654916e-04       3.042223440057e-04 
   33       1.273651041732e-10       1.464088001753e-03       7.350361255533e-04       1.082997860501e-04       2.265640282399e-05       1.644250582773e-04       1.701958180237e-03       5.165741167623e-04       4.144150764469e-05       1.581241832108e-04       1.242748448068e-03       3.728177437497e-04       2.232569586758e-04       7.439906083352e-04       3.340011426338e-04       3.246693709722e-04 
   34       1.375812279106e-10       1.519242313033e-03       7.706133776066e-04       1.152986521136e-04       2.396900109414e-05       1.710955108312e-04       1.786328478641e-03       5.468084146469e-04       4.460704268183e-05       1.666101524237e-04       1.312415249496e-03       3.968831615264e-04       2.371076768173e-04       7.892754782089e-04       3.555979860812e-04       3.456264272401e-04 
   35       1.502572702068e-10       1.573797170840e-03       8.059212323902e-04       1.223480381354e-04       2.528988542347e-05       1.777170420567e-04       1.870477513077e-03       5.772339051714e-04       4.780488425413e-05       1.750944414737e-04       1.382828271853e-03       4.213480941156e-04       2.511456130949e-04       8.354358674550e-04       3.776485599779e-04       3.670687123541e-04 
   36       1.620398819690e-10       1.627788137640e-03       8.409059769586e-04       1.294321670239e-04       2.661725559159e-05       1.842886191940e-04       1.954255635573e-03       6.077900510678e-04       5.102794477157e-05       1.835618307469e-04       1.453866197964e-03       4.461673658706e-04       2.653457063358e-04       8.824034401607e-04       4.001215857922e-04       3.889711313913e-04 
   37       1.696183666951e-10       1.681265851234e-03       8.755240746912e-04       1.365363653574e-04       2.794955568789e-05       1.908106074256e-04       2.037528136313e-03       6.384200467145e-04       5.426989533150e-05       1.919988183087e-04       1.525409954978e-03       4.712967924064e-04       2.796836915142e-04       9.301093246996e-04       4.229857295707e-04       4.113083836293e-04 
   38       1.725731331005e-10       1.734265359285e-03       9.097333722340e-04       1.436457892649e-04       2.928504515976e-05       1.972822733148e-04       2.120167748933e-03       6.690672294456e-04       5.752421907348e-05       2.003920102471e-04       1.597343032628e-03       4.966940764965e-04       2.941350581457e-04       9.784888841886e-04       4.462091647717e-04       4.340545359466e-04 
