# Matter power spectrum P(k) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.644767331888e-03       1.921263868067e+04 
       6.768557058502e-03       1.943443529860e+04 
       6.892453517931e-03       1.965225598799e+04 
       7.016451830727e-03       1.986612893932e+04 
       7.140547449819e-03       2.007608327662e+04 
       7.264736134753e-03       2.028214928180e+04 
       7.389013928273e-03       2.048435733676e+04 
       7.513377134992e-03       2.068273870734e+04 
       7.637822301968e-03       2.087732485060e+04 
       7.762346200971e-03       2.106814769271e+04 
       7.886945812296e-03       2.125523904065e+04 
       8.011618309952e-03       2.143863153337e+04 
       8.136361048121e-03       2.161835713477e+04 
       8.261171548744e-03       2.179444846360e+04 
       8.386047490135e-03       2.196693828824e+04 
       8.510986696537e-03       2.213585920072e+04 
       8.635987128520e-03       2.230124390732e+04 
       8.761046874156e-03       2.246312535813e+04 
       8.886164140890e-03       2.262153659017e+04 
       9.011337248057e-03       2.277651061434e+04 
       9.136564619980e-03       2.292808049404e+04 
       9.261844779606e-03       2.307627917524e+04 
       9.387176342618e-03       2.322113959931e+04 
       9.512558012010e-03       2.336269461406e+04 
       9.637988573055e-03       2.350097697047e+04 
       9.763466888659e-03       2.363601917099e+04 
       9.888991895053e-03       2.376785365536e+04 
       1.001456259780e-02       2.389651240656e+04 
       1.014017806810e-02       2.402202744174e+04 
       1.026583743937e-02       2.414443035579e+04 
       1.039153990402e-02       2.426375264182e+04 
       1.051728471054e-02       2.438002566162e+04 
       1.064307116073e-02       2.449328075082e+04 
       1.076889860715e-02       2.460354869639e+04 
       1.089476645076e-02       2.471086024895e+04 
       1.102067413867e-02       2.481524624817e+04 
       1.114662116215e-02       2.491673761147e+04 
       1.127260705466e-02       2.501536448449e+04 
       1.139863139013e-02       2.511115730214e+04 
       1.152469378125e-02       2.520414672659e+04 
       1.165079387797e-02       2.529436227112e+04 
       1.177693136605e-02       2.538183433997e+04 
       1.190310596572e-02       2.546659248180e+04 
       1.202931743047e-02       2.554866599263e+04 
       1.215556554588e-02       2.562808459244e+04 
       1.228185012854e-02       2.570487653925e+04 
       1.240817102506e-02       2.577907139380e+04 
       1.253452811115e-02       2.585069674842e+04 
       1.266092129077e-02       2.591978166439e+04 
       1.278735049531e-02       2.598635332521e+04 
       1.291381568288e-02       2.605044015652e+04 
       1.304031683761e-02       2.611206949074e+04 
       1.316685396904e-02       2.617126941325e+04 
       1.329342711152e-02       2.622806723455e+04 
       1.342003632369e-02       2.628249003868e+04 
       1.354668168799e-02       2.633456584923e+04 
       1.367336331021e-02       2.638432122445e+04 
       1.380008131909e-02       2.643178382799e+04 
       1.392683586591e-02       2.647698076695e+04 
       1.405362712424e-02       2.651993847024e+04 
       1.418045528952e-02       2.656068413554e+04 
       1.430732057891e-02       2.659924384962e+04 
       1.443422323097e-02       2.663564290200e+04 
       1.456116350548e-02       2.666990701688e+04 
       1.468814168324e-02       2.670206138036e+04 
       1.481515806596e-02       2.673213067755e+04 
       1.494221297609e-02       2.676013987556e+04 
       1.506930675671e-02       2.678611413839e+04 
       1.519643977149e-02       2.681007811580e+04 
       1.532361240459e-02       2.683205599121e+04 
       1.545082506067e-02       2.685207203318e+04 
       1.557807816483e-02       2.687015061550e+04 
       1.570537216266e-02       2.688631579182e+04 
       1.583270752023e-02       2.690059117558e+04 
       1.596008472416e-02       2.691300020550e+04 
       1.608750428170e-02       2.692356631544e+04 
       1.621496672078e-02       2.693231283012e+04 
       1.634247259014e-02       2.693926294725e+04 
       1.647002245945e-02       2.694443962667e+04 
       1.659761691944e-02       2.694786554822e+04 
       1.672525658208e-02       2.694956321221e+04 
       1.685294208073e-02       2.694955509458e+04 
       1.698067407034e-02       2.694786348034e+04 
       1.710845322766e-02       2.694451053321e+04 
       1.723628025149e-02       2.693951830440e+04 
       1.736415586288e-02       2.693290865917e+04 
       1.749208080541e-02       2.692470336553e+04 
