# Matter power spectrum P(k) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.253452811115e-02       2.576203800809e+04 
       1.266092129077e-02       2.583019523817e+04 
       1.278735049531e-02       2.589585016995e+04 
       1.291381568288e-02       2.595903135661e+04 
       1.304031683761e-02       2.601976623225e+04 
       1.316685396904e-02       2.607808295157e+04 
       1.329342711152e-02       2.613400886777e+04 
       1.342003632369e-02       2.618757107954e+04 
       1.354668168799e-02       2.623879759386e+04 
       1.367336331021e-02       2.628771493072e+04 
       1.380008131909e-02       2.633435068623e+04 
       1.392683586591e-02       2.637873187811e+04 
       1.405362712424e-02       2.642088482656e+04 
       1.418045528952e-02       2.646083659784e+04 
       1.430732057891e-02       2.649861313390e+04 
       1.443422323097e-02       2.653423956734e+04 
       1.456116350548e-02       2.656774145118e+04 
       1.468814168324e-02       2.659914379250e+04 
       1.481515806596e-02       2.662847109209e+04 
       1.494221297609e-02       2.665574812720e+04 
       1.506930675671e-02       2.668099986929e+04 
       1.519643977149e-02       2.670425077818e+04 
       1.532361240459e-02       2.672552485223e+04 
       1.545082506067e-02       2.674484617995e+04 
       1.557807816483e-02       2.676223896218e+04 
       1.570537216266e-02       2.677772709045e+04 
       1.583270752023e-02       2.679133402933e+04 
       1.596008472416e-02       2.680308308251e+04 
       1.608750428170e-02       2.681299756363e+04 
       1.621496672078e-02       2.682110069363e+04 
       1.634247259014e-02       2.682741558429e+04 
       1.647002245945e-02       2.683196512862e+04 
       1.659761691944e-02       2.683477195990e+04 
       1.672525658208e-02       2.683585855220e+04 
       1.685294208073e-02       2.683524737535e+04 
       1.698067407034e-02       2.683296072930e+04 
       1.710845322766e-02       2.682902081340e+04 
       1.723628025149e-02       2.682344973505e+04 
       1.736415586288e-02       2.681626943608e+04 
       1.749208080541e-02       2.680750178053e+04 
       1.762005584548e-02       2.679716844350e+04 
       1.774808177257e-02       2.678529099480e+04 
       1.787615939959e-02       2.677189094589e+04 
       1.800428956315e-02       2.675698959826e+04 
       1.813247312398e-02       2.674060824874e+04 
       1.826071096720e-02       2.672276793714e+04 
       1.838900400276e-02       2.670348976805e+04 
       1.851735316580e-02       2.668279459648e+04 
       1.864575941708e-02       2.666070327051e+04 
       1.877422374340e-02       2.663723644541e+04 
       1.890274715802e-02       2.661241467674e+04 
       1.903133070116e-02       2.658625843410e+04 
       1.915997544046e-02       2.655878802683e+04 
       1.928868247147e-02       2.653002365119e+04 
       1.941745291818e-02       2.649998543125e+04 
       1.954628793356e-02       2.646869328657e+04 
       1.967518870009e-02       2.643616705642e+04 
       1.980415643035e-02       2.640242641469e+04 
       1.993319236763e-02       2.636749096326e+04 
       2.006229778650e-02       2.633138008480e+04 
       2.019147399348e-02       2.629411308747e+04 
       2.032072232770e-02       2.625570920779e+04 
       2.045004416154e-02       2.621618731888e+04 
       2.057944090136e-02       2.617556628766e+04 
       2.070891398824e-02       2.613386480804e+04 
       2.083846489866e-02       2.609110137831e+04 
       2.096809514534e-02       2.604729436264e+04 
       2.109780627799e-02       2.600246199120e+04 
       2.122759988417e-02       2.595662228440e+04 
       2.135747759007e-02       2.590979318719e+04 
       2.148744106147e-02       2.586199250767e+04 
       2.161749200456e-02       2.581323785869e+04 
       2.174763216691e-02       2.576354669536e+04 
       2.187786333843e-02       2.571293623022e+04 
       2.200818735232e-02       2.566142344733e+04 
       2.213860608615e-02       2.560902526425e+04 
       2.226912146285e-02       2.555575841817e+04 
       2.239973545183e-02       2.550163960021e+04 
       2.253045007007e-02       2.544668546183e+04 
       2.266126738331e-02       2.539091235011e+04 
       2.279218950720e-02       2.533433633410e+04 
       2.292321860854e-02       2.527697324804e+04 
       2.305435690657e-02       2.521883895350e+04 
       2.318560667422e-02       2.515994920757e+04 
       2.331697023951e-02       2.510031974307e+04 
       2.344844998690e-02       2.503996620097e+04 
       2.358004835877e-02       2.497890360642e+04 
       2.371176785684e-02       2.491714699930e+04 
       2.384361104373e-02       2.485471134506e+04 
       2.397558054454e-02       2.479161171504e+04 
       2.410767904848e-02       2.472786313513e+04 
       2.423990931052e-02       2.466348005623e+04 
       2.437227415314e-02       2.459847665821e+04 
