#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]        
       1.001059510163e+00       2.163958284871e-06      -1.204781438477e+00       1.476161962125e-03       4.960296464422e-09       1.240074116105e-08       1.643177154605e-15       2.480148232211e-09      -9.035860788578e-01       1.476161962125e-03       6.011358904605e-01       6.990512206916e-01      -1.204781438219e+00       1.475837387379e-03       1.972641723206e-04      -9.035860792576e-01       1.476833014312e-03      -1.204788853060e+00       1.475846502264e-03       1.972653821313e-04       3.333333189570e-01 
       1.001158913040e+00       2.164173567816e-06      -1.204782041683e+00       1.476308473477e-03       4.961775860177e-09       1.240443965044e-08       1.643994287095e-15       2.480887930088e-09      -9.035865312621e-01       1.476308473477e-03       6.011358544427e-01       6.990511188042e-01      -1.204782041382e+00       1.475983801938e-03       1.973032907789e-04      -9.035865317286e-01       1.476979725404e-03      -1.204789456371e+00       1.475992917910e-03       1.973045008524e-04       3.333333189541e-01 
       1.001258315918e+00       2.164388850842e-06      -1.204782644868e+00       1.476454984737e-03       4.963255550112e-09       1.240813887528e-08       1.644811744775e-15       2.481627775056e-09      -9.035869836512e-01       1.476454984737e-03       6.011358184278e-01       6.990510169267e-01      -1.204782644524e+00       1.476130216387e-03       1.973424131159e-04      -9.035869841844e-01       1.477126436445e-03      -1.204790059644e+00       1.476139333425e-03       1.973436234492e-04       3.333333189513e-01 
       1.001357718795e+00       2.164604133949e-06      -1.204783248033e+00       1.476601495906e-03       4.964735534257e-09       1.241183883564e-08       1.645629527742e-15       2.482367767128e-09      -9.035874360250e-01       1.476601495906e-03       6.011357824159e-01       6.990509150591e-01      -1.204783247646e+00       1.476276630725e-03       1.973815393314e-04      -9.035874366250e-01       1.477273147435e-03      -1.204790662879e+00       1.476285748807e-03       1.973827499217e-04       3.333333189484e-01 
       1.001457121672e+00       2.164819417137e-06      -1.204783851178e+00       1.476748006984e-03       4.966215812640e-09       1.241553953160e-08       1.646447636094e-15       2.483107906320e-09      -9.035878883836e-01       1.476748006984e-03       6.011357464068e-01       6.990508132015e-01      -1.204783850748e+00       1.476423044953e-03       1.974206694256e-04      -9.035878890503e-01       1.477419858372e-03      -1.204791266074e+00       1.476432164056e-03       1.974218802698e-04       3.333333189455e-01 
       1.001836843537e+00       2.165641805882e-06      -1.204786155022e+00       1.477307682700e-03       4.971873228245e-09       1.242968307061e-08       1.649575830982e-15       2.485936614122e-09      -9.035896162665e-01       1.477307682700e-03       6.011356088774e-01       6.990504241938e-01      -1.204786154427e+00       1.476982350521e-03       1.975701832242e-04      -9.035896171885e-01       1.477980297922e-03      -1.204793569931e+00       1.476991473304e-03       1.975713950089e-04       3.333333189346e-01 
       1.002216565402e+00       2.166464195806e-06      -1.204788458571e+00       1.477867357086e-03       4.977534939626e-09       1.244383734907e-08       1.652708780922e-15       2.488767469813e-09      -9.035913439282e-01       1.477867357086e-03       6.011354713889e-01       6.990500353307e-01      -1.204788457811e+00       1.477541654479e-03       1.977197536215e-04      -9.035913451057e-01       1.478540736719e-03      -1.204795873200e+00       1.477550780582e-03       1.977209662992e-04       3.333333189237e-01 
       1.002596287267e+00       2.167286586909e-06      -1.204790761826e+00       1.478427030143e-03       4.983200948417e-09       1.245800237104e-08       1.655846491337e-15       2.491600474209e-09      -9.035930713694e-01       1.478427030143e-03       6.011353339418e-01       6.990496466118e-01      -1.204790760901e+00       1.478100956827e-03       1.978693806174e-04      -9.035930728028e-01       1.479101174765e-03      -1.204798175889e+00       1.478110085899e-03       1.978705941414e-04       3.333333189127e-01 
       1.002976009132e+00       2.168108979191e-06      -1.204793064788e+00       1.478986701870e-03       4.988871256250e-09       1.247217814063e-08       1.658988967655e-15       2.494435628125e-09      -9.035947985910e-01       1.478986701871e-03       6.011351965374e-01       6.990492580371e-01      -1.204793063698e+00       1.478660257565e-03       1.980190642117e-04      -9.035948002806e-01       1.479661612060e-03      -1.204800478028e+00       1.478669389291e-03       1.980202785399e-04       3.333333189018e-01 
       1.003355730997e+00       2.168931372653e-06      -1.204795367458e+00       1.479546372270e-03       4.994545864757e-09       1.248636466189e-08       1.662136215309e-15       2.497272932379e-09      -9.035965255938e-01       1.479546372270e-03       6.011350591785e-01       6.990488696061e-01      -1.204795366203e+00       1.479219556692e-03       1.981688044041e-04      -9.035965275398e-01       1.480222048605e-03      -1.204802779668e+00       1.479228690818e-03       1.981700195027e-04       3.333333188908e-01 
