# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       3.338352466008e+05       6.758518515445e-09       1.384739893427e+00       2.417133086463e+05       1.389270639218e+04       4.161533246805e-02       4.637888957092e+09       7.990359745471e-01       3.417535443298e+10       1.014203593692e+08       5.071017968461e+08       3.815924191813e-08       2.364144698755e+10       5.842532357675e+10       2.145438584393e-04       6.503016529660e-02 
       3.315145951373e+05       6.853303762629e-09       1.394407767071e+00       2.383731543270e+05       1.389269672430e+04       4.190661594231e-02       4.605645622619e+09       8.046115009330e-01       3.323494198602e+10       9.931996740150e+07       4.965998370075e+08       3.815924191813e-08       2.299089891336e+10       5.682176070378e+10       2.146412627115e-04       6.510761789978e-02 
       3.292100753156e+05       6.949417168432e-09       1.404142962179e+00       2.350792154124e+05       1.389268698911e+04       4.219993806646e-02       4.573626422708e+09       8.102258082586e-01       3.232040700858e+10       9.726307380504e+07       4.863153690252e+08       3.815924191813e-08       2.235825206752e+10       5.526223751893e+10       2.147388277386e-04       6.518573804575e-02 
       3.269215749992e+05       7.046877318965e-09       1.413945945073e+00       2.318308520371e+05       1.389267718613e+04       4.249531310635e-02       4.541829799321e+09       8.158791645368e-01       3.143103742884e+10       9.524877774763e+07       4.762438887381e+08       3.815924191813e-08       2.174301386091e+10       5.374554395624e+10       2.148365547034e-04       6.526453005453e-02 
       3.246489828312e+05       7.145703059916e-09       1.423817185267e+00       2.286274331972e+05       1.389266731489e+04       4.279275542765e-02       4.510254205257e+09       8.215718396085e-01       3.056614076906e+10       9.327619705283e+07       4.663809852641e+08       3.815924191813e-08       2.114470525896e+10       5.227050321034e+10       2.149344447973e-04       6.534399827300e-02 
       3.223921882285e+05       7.245913500171e-09       1.433757155497e+00       2.254683366284e+05       1.389265737492e+04       4.309227949652e-02       4.478898104065e+09       8.273041051550e-01       2.972504360639e+10       9.134446781363e+07       4.567223390682e+08       3.815924191813e-08       2.056286040870e+10       5.083597082196e+10       2.150324992204e-04       6.542414707496e-02 
       3.201510813769e+05       7.347528015470e-09       1.443766331737e+00       2.223529486844e+05       1.389264736574e+04       4.339389988030e-02       4.447759969977e+09       8.330762347102e-01       2.890709104855e+10       8.945274401415e+07       4.472637200707e+08       3.815924191813e-08       1.999702627602e+10       4.944083378865e+10       2.151307191817e-04       6.550498086130e-02 
       3.179255532256e+05       7.450566252130e-09       1.453845193217e+00       2.192806642179e+05       1.389263728688e+04       4.369763124825e-02       4.416838287830e+09       8.388885036726e-01       2.811164622393e+10       8.760019715903e+07       4.380009857951e+08       3.815924191813e-08       1.944676229296e+10       4.808400969985e+10       2.152291058990e-04       6.558650406014e-02 
       3.157154954817e+05       7.555048130810e-09       1.463994222455e+00       2.162508864626e+05       1.389262713785e+04       4.400348837223e-02       4.386131552995e+09       8.447411893178e-01       2.733808978572e+10       8.578601591068e+07       4.289300795534e+08       3.815924191813e-08       1.891164001466e+10       4.676444589585e+10       2.153276605990e-04       6.566872112696e-02 
       3.135208006052e+05       7.660993850329e-09       1.474213905272e+00       2.132630269171e+05       1.389261691817e+04       4.431148612744e-02       4.355638271301e+09       8.506345708112e-01       2.658581942967e+10       8.400940573392e+07       4.200470286696e+08       3.815924191813e-08       1.839124278578e+10       4.548111864985e+10       2.154263845175e-04       6.575163654475e-02 
       3.113413618035e+05       7.768423891537e-09       1.484504730812e+00       2.103165052308e+05       1.389260662734e+04       4.462163949315e-02       4.325356958963e+09       8.565689292199e-01       2.585424942512e+10       8.226958854796e+07       4.113479427398e+08       3.815924191813e-08       1.788516541608e+10       4.423303237249e+10       2.155252788992e-04       6.583525482414e-02 
       3.091770730266e+05       7.877359021245e-09       1.494867191572e+00       2.074107490904e+05       1.389259626488e+04       4.493396355338e-02       4.295286142511e+09       8.625445475260e-01       2.514281015898e+10       8.056580238574e+07       4.028290119287e+08       3.815924191813e-08       1.739301386493e+10       4.301921883822e+10       2.156243449981e-04       6.591958050356e-02 
       3.070278289614e+05       7.987820296202e-09       1.505301783418e+00       2.045451941090e+05       1.389258583029e+04       4.524847349770e-02       4.265424358719e+09       8.685617106389e-01       2.445094769220e+10       7.889730106013e+07       3.944865053006e+08       3.815924191813e-08       1.691440493453e+10       4.183873643309e+10       2.157235840773e-04       6.600461814936e-02 
       3.048935250270e+05       8.099829067130e-09       1.515809005610e+00       2.017192837163e+05       1.389257532307e+04       4.556518462191e-02       4.235770154529e+09       8.746207054081e-01       2.377812332846e+10       7.726335383718e+07       3.863167691859e+08       3.815924191813e-08       1.644896597153e+10       4.069066942301e+10       2.158229974090e-04       6.609037235594e-02 
       3.027740573697e+05       8.213406982819e-09       1.526389360823e+00       1.989324690500e+05       1.389256474271e+04       4.588411232880e-02       4.206322086986e+09       8.807218206361e-01       2.312381319475e+10       7.566324511609e+07       3.783162255805e+08       3.815924191813e-08       1.599633457689e+10       3.957412724234e+10       2.159225862751e-04       6.617684774595e-02 
       3.006693228573e+05       8.328575994271e-09       1.537043355174e+00       1.961842088495e+05       1.389255408872e+04       4.620527212894e-02       4.177078723166e+09       8.868653470910e-01       2.248750783350e+10       7.409627411581e+07       3.704813705791e+08       3.815924191813e-08       1.555615832370e+10       3.848824380189e+10       2.160223519666e-04       6.626404897035e-02 
       2.985792190747e+05       8.445358358907e-09       1.547771498241e+00       1.934739693500e+05       1.389254336057e+04       4.652867964135e-02       4.148038640105e+09       8.930515775201e-01       2.186871180586e+10       7.256175456813e+07       3.628087728406e+08       3.815924191813e-08       1.512809448277e+10       3.743217681604e+10       2.161222957840e-04       6.635198070863e-02 
       2.965036443189e+05       8.563776644829e-09       1.558574303086e+00       1.908012241793e+05       1.389253255777e+04       4.685435059434e-02       4.119200424730e+09       8.992808066625e-01       2.126694330599e+10       7.105901441709e+07       3.552950720855e+08       3.815924191813e-08       1.471180975582e+10       3.640510714832e+10       2.162224190375e-04       6.644064766890e-02 
       2.944424975936e+05       8.683853735146e-09       1.569452286281e+00       1.881654542550e+05       1.389252167978e+04       4.718230082622e-02       4.090562673790e+09       9.055533312622e-01       2.068173378590e+10       6.958739552474e+07       3.479369776237e+08       3.815924191813e-08       1.430698001593e+10       3.540623817498e+10       2.163227230466e-04       6.653005458805e-02 
       2.923956786046e+05       8.805612832356e-09       1.580405967930e+00       1.855661476835e+05       1.389251072610e+04       4.751254628610e-02       4.062123993792e+09       9.118694500818e-01       2.011262759064e+10       6.814625338280e+07       3.407312669140e+08       3.815924191813e-08       1.391329005517e+10       3.443479516611e+10       2.164232091408e-04       6.662020623189e-02 
       2.903630877551e+05       8.929077462783e-09       1.591435871691e+00       1.830027996609e+05       1.389249969620e+04       4.784510303463e-02       4.033883000925e+09       9.182294639154e-01       1.955918160352e+10       6.673495683048e+07       3.336747841524e+08       3.815924191813e-08       1.353043333922e+10       3.349002468372e+10       2.165238786590e-04       6.671110739530e-02 
       2.883446261404e+05       9.054271481092e-09       1.602542524803e+00       1.804749123741e+05       1.389248858955e+04       4.817998724482e-02       4.005838321002e+09       9.246336756020e-01       1.902096490112e+10       6.535288777801e+07       3.267644388901e+08       3.815924191813e-08       1.315811176864e+10       3.257119399642e+10       2.166247329503e-04       6.680276290237e-02 
       2.863401955435e+05       9.181219074847e-09       1.613726458107e+00       1.779819949044e+05       1.389247740561e+04       4.851721520281e-02       3.977988589384e+09       9.310823900393e-01       1.849755841772e+10       6.399944093597e+07       3.199972046799e+08       3.815924191813e-08       1.279603544681e+10       3.167759051014e+10       2.167257733734e-04       6.689517760655e-02 
       2.843496984298e+05       9.309944769146e-09       1.624988206071e+00       1.755235631320e+05       1.389246614387e+04       4.885680330865e-02       3.950332450921e+09       9.375759141971e-01       1.798855461905e+10       6.267402355020e+07       3.133701177510e+08       3.815924191813e-08       1.244392245421e+10       3.080852121456e+10       2.168270012971e-04       6.698835639076e-02 
       2.823730379432e+05       9.440473431314e-09       1.636328306815e+00       1.730991396417e+05       1.389245480376e+04       4.919876807711e-02       3.922868559882e+09       9.441145571307e-01       1.749355718498e+10       6.137605514219e+07       3.068802757109e+08       3.815924191813e-08       1.210149862888e+10       2.996331214471e+10       2.169284181001e-04       6.708230416759e-02 
       2.804101179005e+05       9.572830275663e-09       1.647747302137e+00       1.707082536301e+05       1.389244338477e+04       4.954312613846e-02       3.895595579892e+09       9.506986299950e-01       1.701218070090e+10       6.010496725486e+07       3.005248362743e+08       3.815924191813e-08       1.176849735302e+10       2.914130785745e+10       2.170300251712e-04       6.717702587940e-02 
       2.784608427872e+05       9.707040868315e-09       1.659245737528e+00       1.683504408139e+05       1.389243188633e+04       4.988989423930e-02       3.868512183864e+09       9.573284460583e-01       1.654405035770e+10       5.886020320361e+07       2.943010160180e+08       3.815924191813e-08       1.144465934532e+10       2.834187092224e+10       2.171318239096e-04       6.727252649848e-02 
       2.765251177528e+05       9.843131132099e-09       1.670824162213e+00       1.660252433397e+05       1.389242030791e+04       5.023908924339e-02       3.841617053936e+09       9.640043207158e-01       1.608880165987e+10       5.764121783252e+07       2.882060891626e+08       3.815924191813e-08       1.112973245913e+10       2.756438142600e+10       2.172338157245e-04       6.736881102720e-02 
       2.746028486061e+05       9.981127351502e-09       1.682483129160e+00       1.637322096948e+05       1.389240864894e+04       5.059072813240e-02       3.814908881408e+09       9.707265715040e-01       1.564608014176e+10       5.644747727558e+07       2.822373863779e+08       3.815924191813e-08       1.082347148615e+10       2.680823649156e+10       2.173360020355e-04       6.746588449813e-02 
