# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
 1963       2.448041063611e-11       6.157389749568e-03       5.106208108130e-03       1.277114272852e-03       2.288506638609e-04       8.385086562852e-04       1.310426490827e-02       5.362019159673e-03       5.761114528463e-04       1.414924374591e-03       1.458086261279e-02       5.619998701768e-03       3.074552776793e-03       1.268885563283e-02       6.307340147887e-03       7.288803655120e-03 
 1964       2.556006548241e-11       6.155810400125e-03       5.105041594001e-03       1.276850653526e-03       2.288022298340e-04       8.383000524212e-04       1.310134846783e-02       5.360891127272e-03       5.759930426657e-04       1.414615646148e-03       1.457794998729e-02       5.618921404808e-03       3.073950561464e-03       1.268657608475e-02       6.306223756155e-03       7.287601458580e-03 
 1965       2.665085976142e-11       6.154270709692e-03       5.103908043663e-03       1.276595281160e-03       2.287552706682e-04       8.380968421740e-04       1.309851659517e-02       5.359797700202e-03       5.758783508164e-04       1.414316050801e-03       1.457513147927e-02       5.617880383480e-03       3.073368197218e-03       1.268437844342e-02       6.305148090990e-03       7.286446553166e-03 
 1966       2.774860909303e-11       6.152775380283e-03       5.102811375490e-03       1.276349139344e-03       2.287099625008e-04       8.378996666710e-04       1.309577935633e-02       5.358743005490e-03       5.757678209145e-04       1.414026676132e-03       1.457241833096e-02       5.616879976666e-03       3.072808056114e-03       1.268227252400e-02       6.304118030387e-03       7.285344591037e-03 
 1967       2.884911197979e-11       6.151329132606e-03       5.101755523440e-03       1.276113215585e-03       2.286664821695e-04       8.377091695891e-04       1.309314685740e-02       5.357731186582e-03       5.756618983407e-04       1.413748614051e-03       1.456982182930e-02       5.615924540510e-03       3.072272519646e-03       1.268026818072e-02       6.303138471742e-03       7.284301246832e-03 
 1968       2.994814978515e-11       6.149936706087e-03       5.100744437069e-03       1.275888501304e-03       2.286250072132e-04       8.375259971575e-04       1.309062924451e-02       5.356766403353e-03       5.755610302422e-04       1.413482960795e-03       1.456735330601e-02       5.615018448436e-03       3.071763978755e-03       1.267837530688e-02       6.302214331883e-03       7.283322217709e-03 
 1969       3.104148671164e-11       6.148602858894e-03       5.099782081558e-03       1.275675991845e-03       2.285857158735e-04       8.373507981611e-04       1.308823670395e-02       5.355852832137e-03       5.754656655348e-04       1.413230816941e-03       1.456502413762e-02       5.614166091169e-03       3.071284833841e-03       1.267660383493e-02       6.301350547091e-03       7.282413223363e-03 
 1970       3.212486977913e-11       6.147332367959e-03       5.098872437723e-03       1.275476686477e-03       2.285487870948e-04       8.371842239436e-04       1.308597946218e-02       5.354994665742e-03       5.753762549057e-04       1.412993287404e-03       1.456284574557e-02       5.613371876758e-03       3.070837494774e-03       1.267496373652e-02       6.300552073126e-03       7.281580006063e-03 
 1971       3.319402880296e-11       6.146130029002e-03       5.098019502045e-03       1.275291588405e-03       2.285144005258e-04       8.370269284107e-04       1.308386778590e-02       5.354196113472e-03       5.752932508150e-04       1.412771481448e-03       1.456082959622e-02       5.612640230600e-03       3.070424380908e-03       1.267346502253e-02       6.299823885249e-03       7.280828330673e-03 
 1972       3.424467637222e-11       6.145000656556e-03       5.097227286682e-03       1.275121704764e-03       2.284827365200e-04       8.368795680335e-04       1.308191198210e-02       5.353461401149e-03       5.752171074986e-04       1.412566512688e-03       1.455898720093e-02       5.611975595456e-03       3.070047921090e-03       1.267211774314e-02       6.299170978250e-03       7.280163984686e-03 
 1973       3.527250782794e-11       6.143949083988e-03       5.096499819491e-03       1.274968046637e-03       2.284539761369e-04       8.367428018513e-04       1.308012239807e-02       5.352794771132e-03       5.751482809698e-04       1.412379499099e-03       1.455733011611e-02       5.611382431480e-03       3.069710553672e-03       1.267093198787e-02       6.298598366471e-03       7.279592778249e-03 
