# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02968e-05 to 1.74227 h/Mpc,
# number of wavenumbers equal to 571
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_ncdm[0]             15:t_tot              
       3.096251570245e-02      -7.792979895614e-01      -3.699914397631e+03      -3.720384620708e+03      -7.774201218878e-01      -1.143599054937e+03      -3.704837902654e+03       1.943550304720e-01       1.943550304495e-01      -1.331852831436e-04       4.451071213501e-01       4.451714424148e-01      -1.324876683321e-04       2.185587975974e-01       4.440269873445e-01 
       3.110704323693e-02      -7.759889830679e-01      -3.718593830378e+03      -3.739290909494e+03      -7.741190843907e-01      -1.143957661599e+03      -3.723621020312e+03       1.935297710977e-01       1.935297710754e-01      -1.326204078766e-04       4.473656319946e-01       4.474304683940e-01      -1.319257527689e-04       2.188998402699e-01       4.462768247261e-01 
       3.125199728446e-02      -7.726896684182e-01      -3.737287612234e+03      -3.758212292400e+03      -7.708277154362e-01      -1.144284694266e+03      -3.742418901229e+03       1.927069288590e-01       1.927069288370e-01      -1.320571814622e-04       4.496259236025e-01       4.496912758195e-01      -1.313654774104e-04       2.192365486091e-01       4.485284162154e-01 
       3.139738886121e-02      -7.693999442692e-01      -3.755997264613e+03      -3.777150271499e+03      -7.675459139254e-01      -1.144581759875e+03      -3.761233050776e+03       1.918864784814e-01       1.918864784595e-01      -1.314955866920e-04       4.518881766716e-01       4.519540451783e-01      -1.308068251388e-04       2.195690206504e-01       4.507819418827e-01 
       3.154322932698e-02      -7.661197320419e-01      -3.774724481548e+03      -3.796106523758e+03      -7.642736014708e-01      -1.144850502680e+03      -3.780065148199e+03       1.910684003677e-01       1.910684003460e-01      -1.309356104221e-04       4.541525928418e-01       4.542189781780e-01      -1.302497828816e-04       2.198973207055e-01       4.530376027592e-01 
       3.168953039858e-02      -7.628489499279e-01      -3.793471022483e+03      -3.815082781524e+03      -7.610106964616e-01      -1.145092525671e+03      -3.798916929350e+03       1.902526741154e-01       1.902526740940e-01      -1.303772389842e-04       4.564193810650e-01       4.564862835304e-01      -1.296943370441e-04       2.202214766837e-01       4.552956067399e-01 
       3.183630416391e-02      -7.595874854184e-01      -3.812238580831e+03      -3.834080720264e+03      -7.577570866573e-01      -1.145309314327e+03      -3.817790071436e+03       1.894392716643e-01       1.894392716431e-01      -1.298204531534e-04       4.586887419052e-01       4.587561618609e-01      -1.291404685005e-04       2.205414729966e-01       4.575561534312e-01 
       3.198356309668e-02      -7.563352527533e-01      -3.831029039307e+03      -3.853102200125e+03      -7.545126865065e-01      -1.145502269883e+03      -3.836686435890e+03       1.886281716266e-01       1.886281716056e-01      -1.292652387645e-04       4.609608997869e-01       4.610288375144e-01      -1.285881631635e-04       2.208572622187e-01       4.598194659329e-01 
       3.213132007190e-02      -7.530921609581e-01      -3.849844352009e+03      -3.872149154915e+03      -7.512774052522e-01      -1.145672639205e+03      -3.855607956417e+03       1.878193513131e-01       1.878193512922e-01      -1.287115804509e-04       4.632360869002e-01       4.633045426864e-01      -1.280374057471e-04       2.211687680486e-01       4.620857750179e-01 
       3.227958838212e-02      -7.498580918899e-01      -3.868686409943e+03      -3.891223451319e+03      -7.480511250372e-01      -1.145821440744e+03      -3.874556499580e+03       1.870127812593e-01       1.870127812386e-01      -1.281594584832e-04       4.655145280292e-01       4.655835020450e-01      -1.274881766281e-04       2.214758728180e-01       4.643553038071e-01 
       3.242838175453e-02      -7.466329454232e-01      -3.887557299429e+03      -3.910327155751e+03      -7.448337459724e-01      -1.145949517872e+03      -3.893534129253e+03       1.862084364931e-01       1.862084364726e-01      -1.276088557497e-04       4.677964707520e-01       4.678659632107e-01      -1.269404587819e-04       2.217784525201e-01       4.666282982121e-01 
       3.257771436888e-02      -7.434166230953e-01      -3.906459190760e+03      -3.929462417814e+03      -7.416251698319e-01      -1.146057484194e+03      -3.912542991246e+03       1.854062924580e-01       1.854062924377e-01      -1.270597557861e-04       4.700821734174e-01       4.701521845494e-01      -1.263942358322e-04       2.220763612171e-01       4.689050147482e-01 
       3.272760087641e-02      -7.402089966057e-01      -3.925394201868e+03      -3.948631323301e+03      -7.384252686228e-01      -1.146145669104e+03      -3.931585168512e+03       1.846063171557e-01       1.846063171356e-01      -1.265121369883e-04       4.723718871366e-01       4.724424168634e-01      -1.258494862887e-04       2.223694370042e-01       4.711857023868e-01 
