#scalar perturbations for mode k = 1.500000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       4.709026454509e+00       1.025061398389e-05      -1.210650943076e+00       3.172902896020e-04       2.391917579016e-08       5.979793947540e-08       3.804499589714e-14       1.195958789508e-08      -9.079882073070e-01       3.172902896021e-04       6.011652649644e-01       6.975867233863e-01      -1.210650942972e+00       3.172186649430e-04       1.995672935658e-04      -9.079882074649e-01       3.174352386611e-04 
       4.709216842669e+00       1.025103208715e-05      -1.210651389197e+00       3.173030768299e-04       2.392209087417e-08       5.980522718542e-08       3.805273653590e-14       1.196104543708e-08      -9.079885418976e-01       3.173030768300e-04       6.011652581288e-01       6.975866319926e-01      -1.210651389075e+00       3.172314434443e-04       1.995833974076e-04      -9.079885420831e-01       3.174480433961e-04 
       4.709407230828e+00       1.025145019071e-05      -1.210651835318e+00       3.173158640527e-04       2.392500619599e-08       5.981251548997e-08       3.806047843831e-14       1.196250309799e-08      -9.079888764883e-01       3.173158640529e-04       6.011652512930e-01       6.975865405997e-01      -1.210651835177e+00       3.172442219398e-04       1.995995018978e-04      -9.079888767014e-01       3.174608481275e-04 
       4.709907505728e+00       1.025254882511e-05      -1.210653007571e+00       3.173494644724e-04       2.393266779713e-08       5.983166949283e-08       3.808082753099e-14       1.196633389857e-08      -9.079897556782e-01       3.173494644726e-04       6.011652333301e-01       6.975863004543e-01      -1.210653007383e+00       3.172777994237e-04       1.996418220743e-04      -9.079897559639e-01       3.174944945602e-04 
       4.710407780628e+00       1.025364746157e-05      -1.210654179825e+00       3.173830648571e-04       2.394033104053e-08       5.985082760133e-08       3.810118535244e-14       1.197016552027e-08      -9.079906348686e-01       3.173830648575e-04       6.011652153659e-01       6.975860603143e-01      -1.210654179589e+00       3.173113768677e-04       1.996841467273e-04      -9.079906352269e-01       3.175281409677e-04 
       4.710908055527e+00       1.025474610007e-05      -1.210655352079e+00       3.174166652071e-04       2.394799592637e-08       5.986998981592e-08       3.812155190549e-14       1.197399796318e-08      -9.079915140595e-01       3.174166652074e-04       6.011651974004e-01       6.975858201797e-01      -1.210655351796e+00       3.173449542720e-04       1.997264758569e-04      -9.079915144903e-01       3.175617873501e-04 
       4.711408330427e+00       1.025584474061e-05      -1.210656524335e+00       3.174502655221e-04       2.395566245482e-08       5.988915613705e-08       3.814192719296e-14       1.197783122741e-08      -9.079923932509e-01       3.174502655225e-04       6.011651794334e-01       6.975855800506e-01      -1.210656524003e+00       3.173785316365e-04       1.997688094631e-04      -9.079923937543e-01       3.175954337073e-04 
       4.711908605327e+00       1.025694338321e-05      -1.210657696590e+00       3.174838658023e-04       2.396333062606e-08       5.990832656516e-08       3.816231121767e-14       1.198166531303e-08      -9.079932724427e-01       3.174838658028e-04       6.011651614649e-01       6.975853399269e-01      -1.210657696211e+00       3.174121089612e-04       1.998111475458e-04      -9.079932730188e-01       3.176290800393e-04 
       4.712777276975e+00       1.025885105858e-05      -1.210659732083e+00       3.175422088639e-04       2.397664945476e-08       5.994162363690e-08       3.819772657199e-14       1.198832472738e-08      -9.079947990626e-01       3.175422088646e-04       6.011651302611e-01       6.975849229918e-01      -1.210659731621e+00       3.174704121516e-04       1.998846735463e-04      -9.079947997648e-01       3.176875030879e-04 
       4.713645948622e+00       1.026075874012e-05      -1.210661767579e+00       3.176005518205e-04       2.398997323803e-08       5.997493309508e-08       3.823316829283e-14       1.199498661902e-08      -9.079963256839e-01       3.176005518212e-04       6.011650990525e-01       6.975845060731e-01      -1.210661767033e+00       3.175287152221e-04       1.999582130436e-04      -9.079963265124e-01       3.177459260605e-04 
       4.714514620270e+00       1.026266642783e-05      -1.210663803076e+00       3.176588946719e-04       2.400330197681e-08       6.000825494202e-08       3.826863639499e-14       1.200165098840e-08      -9.079978523068e-01       3.176588946727e-04       6.011650678391e-01       6.975840891708e-01      -1.210663802447e+00       3.175870181726e-04       2.000317660379e-04      -9.079978532615e-01       3.178043489573e-04 
       4.715383291917e+00       1.026457412172e-05      -1.210665838575e+00       3.177172374182e-04       2.401663567203e-08       6.004158918008e-08       3.830413089329e-14       1.200831783602e-08      -9.079993789312e-01       3.177172374192e-04       6.011650366209e-01       6.975836722849e-01      -1.210665837863e+00       3.176453210032e-04       2.001053325291e-04      -9.079993800124e-01       3.178627717782e-04 
       4.716251963565e+00       1.026648182177e-05      -1.210667874076e+00       3.177755800594e-04       2.402997432463e-08       6.007493581158e-08       3.833965180253e-14       1.201498716232e-08      -9.080009055572e-01       3.177755800605e-04       6.011650053981e-01       6.975832554153e-01      -1.210667873281e+00       3.177036237139e-04       2.001789125171e-04      -9.080009067649e-01       3.179211945233e-04 
       4.717120635213e+00       1.026838952800e-05      -1.210669909580e+00       3.178339225955e-04       2.404331793555e-08       6.010829483888e-08       3.837519913756e-14       1.202165896778e-08      -9.080024321849e-01       3.178339225967e-04       6.011649741707e-01       6.975828385621e-01      -1.210669908701e+00       3.177619263046e-04       2.002525060020e-04      -9.080024335191e-01       3.179796171924e-04 
       4.719564850169e+00       1.027375734778e-05      -1.210675636967e+00       3.179980826780e-04       2.408088998039e-08       6.020222495098e-08       3.847536196005e-14       1.204044499020e-08      -9.080067277253e-01       3.179980826795e-04       6.011648862842e-01       6.975816657336e-01      -1.210675635853e+00       3.179259739117e-04       2.004596512480e-04      -9.080067294159e-01       3.181440029054e-04 
       4.722009065125e+00       1.027912521641e-05      -1.210681364373e+00       3.181622419283e-04       2.411850130912e-08       6.029625327280e-08       3.857573444671e-14       1.205925065456e-08      -9.080110232800e-01       3.181622419301e-04       6.011647983761e-01       6.975804930341e-01      -1.210681363024e+00       3.180900205691e-04       2.006669033490e-04      -9.080110253275e-01       3.183083880179e-04 
       4.724453280081e+00       1.028449313390e-05      -1.210687091800e+00       3.183264003464e-04       2.415615194260e-08       6.039037985650e-08       3.867631692849e-14       1.207807597130e-08      -9.080153188500e-01       3.183264003485e-04       6.011647104633e-01       6.975793204633e-01      -1.210687090215e+00       3.182540662767e-04       2.008742623045e-04      -9.080153212550e-01       3.184727725300e-04 
       4.726897495038e+00       1.028986110025e-05      -1.210692819249e+00       3.184905579322e-04       2.419384190169e-08       6.048460475422e-08       3.877710973667e-14       1.209692095084e-08      -9.080196144365e-01       3.184905579346e-04       6.011646225690e-01       6.975781480207e-01      -1.210692817428e+00       3.184181110346e-04       2.010817281137e-04      -9.080196171995e-01       3.186371564417e-04 
       4.729341709994e+00       1.029522911546e-05      -1.210698546722e+00       3.186547146858e-04       2.423157120725e-08       6.057892801814e-08       3.887811320289e-14       1.211578560363e-08      -9.080239100411e-01       3.186547146886e-04       6.011645347221e-01       6.975769757059e-01      -1.210698544665e+00       3.185821548425e-04       2.012893007759e-04      -9.080239131627e-01       3.188015397532e-04 
       4.731785924950e+00       1.030059717952e-05      -1.210704274221e+00       3.188188706073e-04       2.426933988016e-08       6.067334970040e-08       3.897932765916e-14       1.213466994008e-08      -9.080282056656e-01       3.188188706103e-04       6.011644469530e-01       6.975758035181e-01      -1.210704271927e+00       3.187461977006e-04       2.014969802905e-04      -9.080282091464e-01       3.189659224648e-04 
       4.738960111072e+00       1.031635364163e-05      -1.210721085577e+00       3.193006913178e-04       2.438042490367e-08       6.095106225917e-08       3.927763095075e-14       1.219021245183e-08      -9.080408141831e-01       3.193006913218e-04       6.011641896120e-01       6.975723636770e-01      -1.210721082587e+00       3.192276858705e-04       2.021071720331e-04      -9.080408187212e-01       3.194484101848e-04 
