# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.634522055232e+02       7.635730382645e-03       9.835415330072e+02       2.761608788420e-01       1.289041505247e+04       7.838395971315e+01       2.119857185489e+06       3.745289714439e+02       2.012509231655e-03       1.212394019704e-02       6.061970098521e-02       5.794485200331e-04       1.280849213456e-04       3.808819787004e-08       9.291939806562e-04       7.626483100280e-02       8.119788297940e-03       9.688919471797e-01 
       1.623071422494e+02       7.718692690680e-03       9.877099925062e+02       2.732400980173e-01       1.288624659297e+04       7.890804049033e+01       2.104416105419e+06       3.755520144557e+02       1.957040386685e-03       1.187244634793e-02       5.936223173965e-02       5.648110961366e-04       1.243226625222e-04       3.808819787004e-08       9.035835059070e-04       7.466015116450e-02       8.174950558521e-03       9.690916158615e-01 
       1.611700513381e+02       7.802541818579e-03       9.918936756627e+02       2.703504892755e-01       1.288206290982e+04       7.943552341213e+01       2.089084803426e+06       3.765758571075e+02       1.903100348059e-03       1.162616925283e-02       5.813084626415e-02       5.505542031860e-04       1.206691121263e-04       3.808819787004e-08       8.786788950762e-04       7.308938705150e-02       8.230499040180e-03       9.692899388067e-01 
       1.600408772908e+02       7.887287157915e-03       9.960926336983e+02       2.674917152178e-01       1.287786395178e+04       7.996642944589e+01       2.073862508427e+06       3.776004952682e+02       1.850646980469e-03       1.138500070369e-02       5.692500351846e-02       5.366677254055e-04       1.171211748396e-04       3.808819787004e-08       8.544606939057e-04       7.155181771013e-02       8.286436444812e-03       9.694869242524e-01 
       1.589195649949e+02       7.972938199341e-03       1.000306918018e+03       2.646634421747e-01       1.287364966746e+04       8.050077967551e+01       2.058748454718e+06       3.786259248195e+02       1.799639309864e-03       1.114883473687e-02       5.574417368437e-02       5.231418201347e-04       1.136758424181e-04       3.808819787004e-08       8.309099843002e-04       7.004673762374e-02       8.342765493199e-03       9.696825803949e-01 
       1.578060597216e+02       8.059504533627e-03       1.004536580210e+03       2.618653401637e-01       1.286942000527e+04       8.103859530192e+01       2.043741881939e+06       3.796521416558e+02       1.750037491447e-03       1.091756758658e-02       5.458783793290e-02       5.099669103840e-04       1.103301912644e-04       3.808819787004e-08       8.080083695506e-04       6.857345637906e-02       8.399488925138e-03       9.698769153897e-01 
       1.567003071227e+02       8.146995852720e-03       1.008781672047e+03       2.590970828474e-01       1.286517491343e+04       8.157989764360e+01       2.028842035035e+06       3.806791416845e+02       1.701802778549e-03       1.069109763929e-02       5.345548819644e-02       4.971336775923e-04       1.070813800680e-04       3.808819787004e-08       7.857379599655e-04       6.713129834004e-02       8.456609499578e-03       9.700699373520e-01 
       1.556022532285e+02       8.235421950810e-03       1.013042245488e+03       2.563583474917e-01       1.286091433999e+04       8.212470813705e+01       2.014048164221e+06       3.817069208259e+02       1.654897492373e-03       1.046932538911e-02       5.234662694553e-02       4.846330545844e-04       1.039266475099e-04       3.808819787004e-08       7.640813588974e-04       6.571960232869e-02       8.514129994752e-03       9.702616543563e-01 
       1.545118444447e+02       8.324792725407e-03       1.017318352677e+03       2.536488149252e-01       1.285663823280e+04       8.267304833729e+01       1.999359524942e+06       3.827354750131e+02       1.609284992558e-03       1.025215339406e-02       5.126076697029e-02       4.724562187209e-04       1.008633100322e-04       3.808819787004e-08       7.430216491556e-04       6.433772131297e-02       8.572053208312e-03       9.704520744368e-01 
       1.534290275504e+02       8.415118178429e-03       1.021610045944e+03       2.509681694985e-01       1.285234653954e+04       8.322493991840e+01       1.984775377841e+06       3.837648001924e+02       1.564929648560e-03       1.003948623327e-02       5.019743116637e-02       4.605945852365e-04       9.788875966836e-05       3.808819787004e-08       7.225423797919e-04       6.298502210143e-02       8.630381957463e-03       9.706412055874e-01 
