# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:dens[1]-dens[1]        4:dens[1]-dens[2]        5:dens[1]-dens[3]        6:dens[1]-dens[4]        7:dens[1]-dens[5]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[3]-dens[5]       15:dens[4]-dens[4]       16:dens[4]-dens[5]       17:dens[5]-dens[5]    
   38       1.919723062485e-10       2.140586996825e-03       1.057190426578e-03       1.370976452646e-04       4.681129187707e-05       4.066141652773e-04       2.530848893516e-03       7.696137841929e-04       6.846820283453e-05       2.971574270650e-04       1.841967565543e-03       5.598819828904e-04       3.553068575557e-04       1.095219296611e-03       5.121420931681e-04       5.568857911237e-04 
   39       1.833515963077e-10       2.205482366313e-03       1.096817613329e-03       1.445885792058e-04       4.875854807379e-05       4.194050658360e-04       2.628072585838e-03       8.051415267608e-04       7.242750137274e-05       3.095818345850e-04       1.924751303500e-03       5.889778598590e-04       3.730995813037e-04       1.149868923847e-03       5.390415342578e-04       5.846897152115e-04 
   40       1.758583859150e-10       2.269925144042e-03       1.135890781790e-03       1.520611611548e-04       5.070370064305e-05       4.321021470407e-04       2.724292770903e-03       8.405778399073e-04       7.638803590145e-05       3.219002645652e-04       2.007718062265e-03       6.182909468958e-04       3.909735437550e-04       1.205125264606e-03       5.662732893966e-04       6.128647040535e-04 
   41       1.733661313619e-10       2.333994183467e-03       1.174397728878e-03       1.595022174516e-04       5.264571605811e-05       4.447107758462e-04       2.819420203110e-03       8.758722287684e-04       8.034491759192e-05       3.341021954229e-04       2.090748715186e-03       6.477791592823e-04       4.089024502606e-04       1.260918880202e-03       5.938022507961e-04       6.413817515509e-04 
   42       1.756057187590e-10       2.397743484787e-03       1.212324360126e-03       1.668983735010e-04       5.458312481787e-05       4.572336783916e-04       2.913371984897e-03       9.109741534200e-04       8.429180621103e-05       3.461765960206e-04       2.173730395426e-03       6.773988352535e-04       4.268599016585e-04       1.317179249364e-03       6.215930420108e-04       6.702116497844e-04 
   43       1.808630387147e-10       2.461225470949e-03       1.249666231587e-03       1.742376652917e-04       5.651454241767e-05       4.696736348928e-04       3.006083942017e-03       9.458378654832e-04       8.822272050788e-05       3.581148622885e-04       2.256557110361e-03       7.071076683128e-04       4.448209500488e-04       1.373836265218e-03       6.496108916655e-04       6.993254601507e-04 
   44       1.870003991819e-10       2.524499789653e-03       1.286433543198e-03       1.815102844246e-04       5.843888212536e-05       4.820344918512e-04       3.097516351925e-03       9.804246443096e-04       9.213280081264e-05       3.699121093255e-04       2.339130429124e-03       7.368660413863e-04       4.627628413012e-04       1.430820983556e-03       6.778220883902e-04       7.286947655680e-04 
   45       1.919861232071e-10       2.587626921452e-03       1.322646509973e-03       1.887080574633e-04       6.035522810219e-05       4.943205007836e-04       3.187648528853e-03       1.014701258142e-03       9.601800308066e-05       3.815660985067e-04       2.421358679537e-03       7.666365976391e-04       4.806645611358e-04       1.488066106114e-03       7.061938542183e-04       7.582916215469e-04 
   46       1.957333315878e-10       2.650647306659e-03       1.358317708564e-03       1.958222195775e-04       6.226236217778e-05       5.065341922720e-04       3.276456945874e-03       1.048633361397e-03       9.987381847209e-05       3.930730148165e-04       2.503152526156e-03       7.963820104960e-04       4.985047602658e-04       1.545506941918e-03       7.346934646967e-04       7.880881202399e-04 
   47       1.987667176314e-10       2.713595558554e-03       1.393465981050e-03       2.028453209226e-04       6.415912978212e-05       5.186777987717e-04       3.363933244979e-03       1.082191161155e-03       1.036963539492e-04       4.044308757310e-04       2.584429316484e-03       8.260671167861e-04       5.162636068904e-04       1.603081210319e-03       7.632891941276e-04       8.180568922023e-04 
   48       2.017205845222e-10       2.776505481811e-03       1.428122068764e-03       2.097720499875e-04       6.604458596638e-05       5.307537474241e-04       3.450091794026e-03       1.115351868361e-03       1.074827941409e-04       4.156409401613e-04       2.665115129388e-03       8.556599064778e-04       5.339236099795e-04       1.660729147572e-03       7.919507825133e-04       8.481713624143e-04 
   49       2.053448765048e-10       2.839409471883e-03       1.462329192284e-03       2.165993950879e-04       6.791800703364e-05       5.427645845407e-04       3.534970855664e-03       1.148100184121e-03       1.112314850923e-04       4.267078952119e-04       2.745145419295e-03       8.851318136647e-04       5.514698135962e-04       1.718393798922e-03       8.206496102070e-04       8.784058561298e-04 
   50       2.102140995908e-10       2.902335416282e-03       1.496137454236e-03       2.233259115289e-04       6.977879230969e-05       5.547126750128e-04       3.618624714256e-03       1.180426186504e-03       1.149414156554e-04       4.376385263066e-04       2.824463807562e-03       9.144568692281e-04       5.688891650652e-04       1.776020788687e-03       8.493584024018e-04       9.087354906652e-04 
   51       2.157469459585e-10       2.965297800222e-03       1.529583911100e-03       2.299489139230e-04       7.162611103885e-05       5.665993795515e-04       3.701094825366e-03       1.212317186509e-03       1.186103014043e-04       4.484368687226e-04       2.903016575290e-03       9.436082125888e-04       5.861679664624e-04       1.833556879289e-03       8.780498428406e-04       9.391355705681e-04 
   52       2.209309829489e-10       3.028303148509e-03       1.562708094654e-03       2.364668009100e-04       7.345917974645e-05       5.784255235834e-04       3.782432855687e-03       1.243764502083e-03       1.222361253873e-04       4.591080628190e-04       2.980757789186e-03       9.725611360967e-04       6.032940672600e-04       1.890951525973e-03       9.066978857091e-04       9.695822112402e-04 
   53       2.245887433018e-10       3.091351611512e-03       1.595557998790e-03       2.428799994524e-04       7.527737002925e-05       5.901915187398e-04       3.862709766364e-03       1.274766219751e-03       1.258177491183e-04       4.696598682958e-04       3.057651567524e-03       1.001294372384e-03       6.202577817778e-04       1.948157625803e-03       9.352783418179e-04       1.000052632151e-03 
   54       2.253697746691e-10       3.154436246992e-03       1.628190368799e-03       2.491910842432e-04       7.708021501633e-05       6.018972767473e-04       3.942016556418e-03       1.305327558574e-03       1.293549679804e-04       4.801027795816e-04       3.133672637150e-03       1.029790331785e-03       6.370520446283e-04       2.005131785183e-03       9.637690311282e-04       1.030525252614e-03 
   55       2.222343224939e-10       3.217544439083e-03       1.660665156511e-03       2.554038935228e-04       7.886734756354e-05       6.135423705564e-04       4.020454931787e-03       1.335458229224e-03       1.328481359245e-04       4.904486281018e-04       3.208803686174e-03       1.058033954996e-03       6.536715998858e-04       2.061833435558e-03       9.921493295008e-04       1.060979492261e-03 
   56       2.160633002337e-10       3.280664213281e-03       1.693026609890e-03       2.615203457633e-04       8.063828205617e-05       6.251267618637e-04       4.098104894891e-03       1.365162909093e-03       1.362968034636e-04       5.007057181273e-04       3.283025375861e-03       1.086008393405e-03       6.701099766067e-04       2.118221310390e-03       1.020398327663e-03       1.091394895018e-03 
   57       2.084343444025e-10       3.343778232302e-03       1.725317992401e-03       2.675430413315e-04       8.239258971801e-05       6.366501034959e-04       4.175050405774e-03       1.394449038513e-03       1.397008383704e-04       5.108826846769e-04       3.356324823115e-03       1.113698671517e-03       6.863620342376e-04       2.174256561574e-03       1.048496482052e-03       1.121751955263e-03 
   58       2.011761826929e-10       3.406861175295e-03       1.757587066213e-03       2.734762753524e-04       8.412996584708e-05       6.481114331973e-04       4.251389094331e-03       1.423329859867e-03       1.430608645205e-04       5.209899559744e-04       3.428699010162e-03       1.141093157167e-03       7.024249782973e-04       2.229904052374e-03       1.076426306638e-03       1.152032476498e-03 
   59       1.963798380371e-10       3.469879102937e-03       1.789886154183e-03       2.793261180151e-04       8.585023361663e-05       6.595090971538e-04       4.327232611216e-03       1.451824664482e-03       1.463783005145e-04       5.310398098835e-04       3.500155216711e-03       1.168183744984e-03       7.182984781739e-04       2.285132580071e-03       1.104172501851e-03       1.182219655615e-03 
   60       1.964098326667e-10       3.532788822525e-03       1.822272201843e-03       2.851004948798e-04       8.755334787635e-05       6.708406735169e-04       4.402706978755e-03       1.479959039524e-03       1.496553983015e-04       5.410464303433e-04       3.570711452119e-03       1.194966039855e-03       7.339847849235e-04       2.339915098603e-03       1.131722083501e-03       1.212298167169e-03 
   61       2.032273060229e-10       3.595543198596e-03       1.854801358696e-03       2.908080729794e-04       8.923933807333e-05       6.821034372098e-04       4.477941635250e-03       1.507761453507e-03       1.528947306041e-04       5.510243859990e-04       3.640392119536e-03       1.221438067764e-03       7.494875846542e-04       2.394228261732e-03       1.159063659552e-03       1.242253763816e-03 
   62       2.161564787493e-10       3.658109914038e-03       1.887511160594e-03       2.964544452793e-04       9.090811344431e-05       6.932960492702e-04       4.553032900435e-03       1.535251558664e-03       1.560974313739e-04       5.609835393776e-04       3.709212893425e-03       1.247595655087e-03       7.648079914346e-04       2.448050429007e-03       1.186184779056e-03       1.272071782182e-03 
   63       2.336344477789e-10       3.720455812628e-03       1.920434439792e-03       3.020452283867e-04       9.255962064294e-05       7.044171127169e-04       4.628072894820e-03       1.562449689085e-03       1.592646271271e-04       5.709330899663e-04       3.777193199071e-03       1.273436332975e-03       7.799478598916e-04       2.501363605264e-03       1.213074214226e-03       1.301738449636e-03 
   64       2.538446153120e-10       3.782540887689e-03       1.953604343033e-03       3.075872227556e-04       9.419390259370e-05       7.154646066014e-04       4.703160114980e-03       1.589380418545e-03       1.623979740054e-04       5.808830574301e-04       3.844360956377e-03       1.298960852495e-03       7.949110463971e-04       2.554154277719e-03       1.239722859953e-03       1.331241406074e-03 
   65       2.747060604228e-10       3.844317835836e-03       1.987054219628e-03       3.130884551024e-04       9.581110036138e-05       7.264358267070e-04       4.778399425709e-03       1.616072691218e-03       1.654996789102e-04       5.908442879837e-04       3.910752860744e-03       1.324173321371e-03       8.097034867468e-04       2.606413617055e-03       1.266123835692e-03       1.360569772844e-03 
   66       2.938629106677e-10       3.905731610719e-03       2.020817509547e-03       3.185582208210e-04       9.741145502051e-05       7.373273262471e-04       4.853902052182e-03       1.642559952407e-03       1.685725206364e-04       6.008284607641e-04       3.976414663943e-03       1.349081340724e-03       8.243332738392e-04       2.658137678503e-03       1.292272587345e-03       1.389714221662e-03 
   67       3.086737136916e-10       3.966718976763e-03       2.054927631504e-03       3.240071263981e-04       9.899530952479e-05       7.481348565642e-04       4.929785572113e-03       1.668880279256e-03       1.716198710055e-04       6.108480942033e-04       4.041401454995e-03       1.373696141815e-03       8.388107353550e-04       2.709327602931e-03       1.318166989153e-03       1.418667043529e-03 
   68       3.168666910767e-10       4.027216543744e-03       2.089414548485e-03       3.294459211200e-04       1.005630589244e-04       7.588541518743e-04       5.006163975905e-03       1.695072580369e-03       1.746452275922e-04       6.209152806817e-04       4.105771745621e-03       1.398030461730e-03       8.531470174915e-04       2.759987021327e-03       1.343806260831e-03       1.447421552694e-03 
   69       3.186834348470e-10       4.087187758527e-03       2.124293906391e-03       3.348816224909e-04       1.021149851257e-04       7.694836007047e-04       5.083115525824e-03       1.721164008240e-03       1.776506547153e-04       6.310375785175e-04       4.169567707098e-03       1.422091364954e-03       8.673493292927e-04       2.810113208068e-03       1.369187236468e-03       1.475970004237e-03 
   70       3.151524827639e-10       4.146600606018e-03       2.159575483440e-03       3.403206783117e-04       1.036513918538e-04       7.800220117151e-04       5.160708340238e-03       1.747180219359e-03       1.806380630639e-04       6.412212952094e-04       4.232831415049e-03       1.445886206219e-03       8.814248698140e-04       2.859704488071e-03       1.394307519167e-03       1.504305376406e-03 
   71       3.074681559607e-10       4.205419387001e-03       2.195266124638e-03       3.457701191692e-04       1.051726538812e-04       7.904677805078e-04       5.239009492239e-03       1.773149109294e-03       1.836096786435e-04       6.514726598224e-04       4.295610810779e-03       1.469424840367e-03       8.953822755686e-04       2.908763002028e-03       1.419166669202e-03       1.532422049213e-03 
   72       2.969969607865e-10       4.263604488780e-03       2.231369544895e-03       3.512375698870e-04       1.066792175758e-04       8.008188519130e-04       5.318084747789e-03       1.799100842864e-03       1.865680514174e-04       6.617977968360e-04       4.357959823707e-03       1.492719701257e-03       9.092316599981e-04       2.957294835963e-03       1.443766275601e-03       1.560315856356e-03 
   73       2.852839906493e-10       4.321112155823e-03       2.267886132128e-03       3.567312609760e-04       1.081716014496e-04       8.110726822741e-04       5.397998303857e-03       1.825067884326e-03       1.895160639500e-04       6.722026999914e-04       4.419938493785e-03       1.515785880682e-03       9.229846529435e-04       3.005310150795e-03       1.468110027735e-03       1.587984137125e-03 
   74       2.740593278603e-10       4.377894260406e-03       2.304812750380e-03       3.622600400858e-04       1.096503967069e-04       8.212262017337e-04       5.478812526572e-03       1.851085027555e-03       1.924569400489e-04       6.826932061395e-04       4.481613093929e-03       1.538641207279e-03       9.366544401160e-04       3.052823311897e-03       1.492203786901e-03       1.615425788315e-03 
   75       2.652444454769e-10       4.433898073253e-03       2.342142542923e-03       3.678333834548e-04       1.111162677929e-04       8.312757765183e-04       5.560587689358e-03       1.877189426222e-03       1.953942534074e-04       6.932749690886e-04       4.543056252443e-03       1.561306325447e-03       9.502558025673e-04       3.099853018660e-03       1.516055657907e-03       1.642641316137e-03 
   76       2.605086159864e-10       4.489073510403e-03       2.379864742903e-03       3.734604514304e-04       1.125699022291e-04       8.412178598326e-04       5.643376129390e-03       1.903417357332e-03       1.983315281219e-04       7.039528029876e-04       4.604341294080e-03       1.583802521744e-03       9.638037090685e-04       3.146419765722e-03       1.539674675638e-03       1.669632037469e-03 
   77       2.598305982669e-10       4.543396906439e-03       2.417964500617e-03       3.791470308767e-04       1.140118483464e-04       8.510511649392e-04       5.727204065559e-03       1.929793763742e-03       2.012709370369e-04       7.147286320512e-04       4.665523801249e-03       1.606144572069e-03       9.773087096517e-04       3.192537405783e-03       1.563066429991e-03       1.696397400680e-03 
   78       2.626850795942e-10       4.596851179868e-03       2.456422666883e-03       3.848980534130e-04       1.154426488209e-04       8.607748216716e-04       5.812085973780e-03       1.956340850644e-03       2.042143806356e-04       7.256031177065e-04       4.726656897205e-03       1.628346727439e-03       9.907807698662e-04       3.238220276468e-03       1.586236769473e-03       1.722937268288e-03 
   79       2.684666206947e-10       4.649418666671e-03       2.495215589167e-03       3.907184938622e-04       1.168628882779e-04       8.703876997686e-04       5.898029504322e-03       1.983081146825e-03       2.071638743771e-04       7.365762174417e-04       4.787796732936e-03       1.650424882979e-03       1.004230652988e-03       3.283485805798e-03       1.609193157935e-03       1.749252758191e-03 
