# Matter power spectrum P(k) at redshift z=0
# for k=1.03246e-05 to 8.71643 h/Mpc,
# number of wavenumbers equal to 619
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.494723059233e-02       2.598006952939e+04 
       2.507823379318e-02       2.591511364463e+04 
       2.520940147960e-02       2.584951890356e+04 
       2.534073729440e-02       2.578338995241e+04 
       2.547224497263e-02       2.571665515090e+04 
       2.560392834422e-02       2.564923824591e+04 
       2.573579133665e-02       2.558166799983e+04 
       2.586783797787e-02       2.551349624070e+04 
       2.600007239918e-02       2.544450219306e+04 
       2.613249883829e-02       2.537534080356e+04 
       2.626512164247e-02       2.530538467223e+04 
       2.639794527182e-02       2.523524855618e+04 
       2.653097430265e-02       2.516476569258e+04 
       2.666421343103e-02       2.509354638272e+04 
       2.679766747636e-02       2.502199629631e+04 
       2.693134138524e-02       2.495014541567e+04 
       2.706524023533e-02       2.487771921318e+04 
       2.719936923946e-02       2.480489240417e+04 
       2.733373374985e-02       2.473165312186e+04 
       2.746833926252e-02       2.465822656662e+04 
       2.760319142182e-02       2.458447270119e+04 
       2.773829602523e-02       2.451019046308e+04 
       2.787365902826e-02       2.443542240917e+04 
       2.800928654960e-02       2.436060693616e+04 
       2.814518487645e-02       2.428541146836e+04 
       2.828136047008e-02       2.420949453215e+04 
       2.841781997164e-02       2.413402470342e+04 
       2.855457020813e-02       2.405788927161e+04 
       2.869161819873e-02       2.398146882817e+04 
       2.882897116129e-02       2.390476977873e+04 
       2.896663651919e-02       2.382776368634e+04 
       2.910462190841e-02       2.375050800193e+04 
       2.924293518496e-02       2.367300740494e+04 
       2.938158443261e-02       2.359527892203e+04 
       2.952057797095e-02       2.351732232545e+04 
       2.965992436383e-02       2.343914729738e+04 
       2.979963242818e-02       2.336064341989e+04 
       2.993971124316e-02       2.328212325635e+04 
       3.008017015985e-02       2.320325146613e+04 
       3.022101881122e-02       2.312434784013e+04 
       3.036226712274e-02       2.304508185642e+04 
       3.050392532336e-02       2.296569583876e+04 
       3.064600395701e-02       2.288619115759e+04 
       3.078851389472e-02       2.280643328868e+04 
       3.093146634730e-02       2.272655312723e+04 
       3.107487287855e-02       2.264659559008e+04 
       3.121874541924e-02       2.256645076378e+04 
       3.136309628171e-02       2.248613819197e+04 
       3.150793817520e-02       2.240570078286e+04 
       3.165328422196e-02       2.232514174171e+04 
       3.179914797422e-02       2.224447426886e+04 
       3.194554343195e-02       2.216366281165e+04 
       3.209248506162e-02       2.208273224874e+04 
       3.223998781591e-02       2.200168739174e+04 
       3.238806715448e-02       2.192055948048e+04 
       3.253673906581e-02       2.183940358525e+04 
       3.268602009030e-02       2.175803947670e+04 
       3.283592734456e-02       2.167672472721e+04 
       3.298647854709e-02       2.159525021881e+04 
       3.313769204541e-02       2.151352430469e+04 
       3.328958684462e-02       2.143205074420e+04 
       3.344218263778e-02       2.135031108200e+04 
       3.359549983787e-02       2.126848820134e+04 
       3.374955961170e-02       2.118668438778e+04 
       3.390438391586e-02       2.110475675522e+04 
       3.405999553475e-02       2.102275766272e+04 
       3.421641812095e-02       2.094077329757e+04 
       3.437367623811e-02       2.085869078544e+04 
       3.453179540640e-02       2.077655466413e+04 
       3.469080215092e-02       2.069436905779e+04 
       3.485072405313e-02       2.061211782944e+04 
       3.501158980561e-02       2.052940523306e+04 
       3.517342927042e-02       2.044739384950e+04 
       3.533627354122e-02       2.036500231385e+04 
       3.550015500969e-02       2.028270564373e+04 
       3.566510743635e-02       2.020027271940e+04 
       3.583116602624e-02       2.011778096151e+04 
       3.599836750998e-02       2.003512803519e+04 
       3.616675023038e-02       1.995199860338e+04 
       3.633635423542e-02       1.986990709251e+04 
       3.650722137784e-02       1.978722134287e+04 
       3.667939542214e-02       1.970443104216e+04 
       3.685292215951e-02       1.962121863328e+04 
       3.702784953150e-02       1.953882424438e+04 
       3.720422776315e-02       1.945592061285e+04 
       3.738210950654e-02       1.937254301463e+04 
       3.756154999566e-02       1.928995466009e+04 
       3.774260721371e-02       1.920687487066e+04 
       3.792534207413e-02       1.912377766620e+04 
       3.810981861653e-02       1.904048449990e+04 
       3.829610421915e-02       1.895721595022e+04 
       3.848426982953e-02       1.887385680448e+04 
       3.867439021517e-02       1.879013359295e+04 
       3.886654423644e-02       1.870658808209e+04 
       3.906081514389e-02       1.862270753623e+04 
       3.925729090292e-02       1.853953208716e+04 
       3.945606454846e-02       1.845522924320e+04 
       3.965723457343e-02       1.837100787021e+04 
       3.986090535449e-02       1.828708756893e+04 
       4.006718761969e-02       1.820286638318e+04 
       4.027619896280e-02       1.811864119854e+04 
       4.048806441012e-02       1.803408594330e+04 
       4.070291704610e-02       1.794943540413e+04 
       4.092089870521e-02       1.786429464745e+04 
       4.114216073854e-02       1.777928668072e+04 
       4.136686486487e-02       1.769405113323e+04 
       4.159518411741e-02       1.760814429331e+04 
       4.182730389933e-02       1.752280281799e+04 
       4.206342316295e-02       1.743660483755e+04 
       4.230375573035e-02       1.735033366415e+04 
       4.254853177566e-02       1.726380067016e+04 
       4.279799949304e-02       1.717699910116e+04 
       4.305242697840e-02       1.708998654602e+04 
       4.331210435788e-02       1.700212970032e+04 
       4.357734620206e-02       1.691439453699e+04 
       4.384849427233e-02       1.682609547289e+04 
       4.412592065429e-02       1.673725751028e+04 
       4.441003134390e-02       1.664801732260e+04 
       4.470127036529e-02       1.655848441154e+04 
       4.500012451480e-02       1.646789552603e+04 
       4.530712884582e-02       1.637708915764e+04 
       4.562287303338e-02       1.628557637260e+04 
       4.594800878758e-02       1.619322955691e+04 
       4.628325852278e-02       1.610031771301e+04 
       4.662942553715e-02       1.600624199877e+04 
       4.698740601621e-02       1.591135926843e+04 
       4.735820324946e-02       1.581573678615e+04 
       4.774294454454e-02       1.571902497316e+04 
       4.814290144390e-02       1.562137292788e+04 
       4.855951400350e-02       1.552197645929e+04 
       4.899442008889e-02       1.542136007038e+04 
       4.944949089489e-02       1.531920409764e+04 
       4.992687421216e-02       1.521519148348e+04 
       5.042904736613e-02       1.510921608882e+04 
       5.095888225355e-02       1.500115687495e+04 
       5.151972551286e-02       1.489056867608e+04 
       5.211549758059e-02       1.477702411046e+04 
       5.275081516520e-02       1.466051221577e+04 
       5.343114238531e-02       1.453974719679e+04 
       5.416297616884e-02       1.441481749360e+04 
       5.495407084258e-02       1.428450503771e+04 
       5.581370383953e-02       1.414743244310e+04 
       5.675297657776e-02       1.400274275854e+04 
       5.778512722634e-02       1.384787774484e+04 
       5.892579766505e-02       1.368034764745e+04 
       6.019313484429e-02       1.349650000940e+04 
       6.160750780240e-02       1.329184971679e+04 
       6.319049544615e-02       1.305998227685e+04 
       6.496271729299e-02       1.279313682548e+04 
       6.694022916632e-02       1.248254843119e+04 
       6.912987017492e-02       1.211938512153e+04 
       7.152515614017e-02       1.169824816755e+04 
       7.410521206218e-02       1.121809466101e+04 
       7.683828704731e-02       1.068671373582e+04 
       7.968853233904e-02       1.011988439732e+04 
       8.262261825070e-02       9.538214889623e+03 
       8.561358409893e-02       8.964391878758e+03 
       8.864167505238e-02       8.419447835404e+03 
       9.169336562280e-02       7.919971629767e+03 
       9.475980170611e-02       7.477357176960e+03 
       9.783535188011e-02       7.096156701932e+03 
       1.009164987376e-01       6.776892249954e+03 
       1.040010697723e-01       6.514355077196e+03 
       1.070877322746e-01       6.300632312107e+03 
       1.101756720225e-01       6.125051568832e+03 
       1.132643927182e-01       5.975731387760e+03 
       1.163535922031e-01       5.840571308227e+03 
       1.194430865799e-01       5.708626203986e+03 
       1.225327638893e-01       5.570921289246e+03 
       1.256225558996e-01       5.420709987886e+03 
       1.287124209525e-01       5.254422613362e+03 
       1.318023335399e-01       5.072443410887e+03 
       1.348922779734e-01       4.876029137423e+03 
       1.379822445409e-01       4.670674436554e+03 
       1.410722271718e-01       4.462165701711e+03 
