# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_vf             15:(.)p_vf               16:(.)p_prime_vf         17:phi_vf                18:rQ_vf                 19:(.)rho_cdm_vf         20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       1.487586088973e+02       9.013641133548e-03       1.069765367069e+03       2.350063689514e-01       1.336149006655e+04       8.922018016149e+01       2.000998165161e+06       4.090785230817e+02       1.384032412627e-03       8.359878585864e-03       4.484512428716e-02       6.389576011253e-04       5.522799344774e-02       7.118519039606e-10      -7.211469133189e-10      -9.692542054451e-13       2.053069399254e-11       9.538494105300e-01      -1.508887819950e-10       5.522799344774e-02       6.743292834372e-04      -4.232728477054e-06       8.288966423613e-03       9.752834018030e-01 
       1.471574772736e+02       9.164046069744e-03       1.076634305798e+03       2.312023486421e-01       1.335462112782e+04       9.013801647796e+01       1.978586976242e+06       4.107612064558e+02       1.325785820974e-03       8.094598306581e-03       4.342207406302e-02       6.120672608870e-04       5.345452601761e-02       7.183761300127e-10      -7.278167565338e-10      -9.727751421404e-13       2.076617133164e-11       9.535489572640e-01      -1.522237354882e-10       5.345452601761e-02       6.459502994703e-04      -4.032072721426e-06       8.376330855325e-03       9.755411134976e-01 
       1.455734640145e+02       9.316925494694e-03       1.083541606630e+03       2.274603626677e-01       1.334771382699e+04       9.106500905009e+01       1.956420652296e+06       4.124458397811e+02       1.269990519774e-03       7.837736047471e-03       4.204418085367e-02       5.863085926046e-04       5.173821658490e-02       7.249597012231e-10      -7.345482203365e-10      -9.763106199401e-13       2.100433317533e-11       9.532465261998e-01      -1.535700704057e-10       5.173821658490e-02       6.187656362445e-04      -3.840936961643e-06       8.464639423557e-03       9.757962060321e-01 
       1.440063861006e+02       9.472319807016e-03       1.090487469863e+03       2.237793875430e-01       1.334076796375e+04       9.200124437623e+01       1.934496550230e+06       4.141324076456e+02       1.216543347198e-03       7.589024683273e-03       4.071001171179e-02       5.616339702008e-04       5.007721428914e-02       7.316031502453e-10      -7.413418724815e-10      -9.798606819229e-13       2.124520983066e-11       9.529421056028e-01      -1.549278769912e-10       5.007721428914e-02       5.927250311243e-04      -3.658869086579e-06       8.553902331662e-03       9.760487046092e-01 
       1.424560624689e+02       9.630270062828e-03       1.097472096895e+03       2.201584169714e-01       1.333378333672e+04       9.294680968686e+01       1.912812055299e+06       4.158208947114e+02       1.165345482953e-03       7.348205565293e-03       3.941817916116e-02       5.379977719281e-04       4.846972856335e-02       7.383070144001e-10      -7.481982859199e-10      -9.834253713024e-13       2.148883194139e-11       9.526356836812e-01      -1.562972460955e-10       4.846972856335e-02       5.677803367619e-04      -3.485438481147e-06       8.644129893255e-03       9.762986342183e-01 
       1.409223139924e+02       9.790817986597e-03       1.104495690235e+03       2.165964615480e-01       1.332675974338e+04       9.390179294914e+01       1.891364580802e+06       4.175112857155e+02       1.116302265568e-03       7.115028252421e-03       3.816733975371e-02       5.153562960162e-04       4.691402715511e-02       7.450718357151e-10      -7.551180388467e-10      -9.870047314257e-13       2.173523049176e-11       9.523272485872e-01      -1.576782691792e-10       4.691402715511e-02       5.438854320766e-04      -3.320235002847e-06       8.735332533416e-03       9.765460196364e-01 
       1.394049634594e+02       9.954005981768e-03       1.111558453504e+03       2.130925484693e-01       1.331969698011e+04       9.486628287158e+01       1.870151567783e+06       4.192035654698e+02       1.069323017372e-03       6.889250250681e-03       3.695619267240e-02       4.936676798711e-04       4.540843421315e-02       7.518981609641e-10      -7.621017147476e-10      -9.905988057727e-13       2.198443681003e-11       9.520167884151e-01      -1.590710383147e-10       4.540843421315e-02       5.209961369792e-04      -3.162868007103e-06       8.827520789882e-03       9.767908854303e-01 
       1.379038355525e+02       1.011987714190e-02       1.118660591445e+03       2.096457212473e-01       1.331259484217e+04       9.584036890863e+01       1.849170484733e+06       4.208977188618e+02       1.024320876837e-03       6.670636761049e-03       3.578347837845e-02       4.728918226733e-04       4.395132843732e-02       7.587865417065e-10      -7.691499024469e-10      -9.942076379554e-13       2.223648257234e-11       9.517042912018e-01      -1.604756461885e-10       4.395132843732e-02       4.990701306868e-04      -3.012965419090e-06       8.920705314265e-03       9.770332559581e-01 
       1.364187568288e+02       1.028847526203e-02       1.125802309925e+03       2.062550394288e-01       1.330545312369e+04       9.682414126527e+01       1.828418827302e+06       4.225937308551e+02       9.812126379758e-04       6.458960435276e-03       3.464797730144e-02       4.529903112347e-04       4.254114128977e-02       7.657375343277e-10      -7.762631961552e-10      -9.978312717167e-13       2.249139980635e-11       9.513897449279e-01      -1.618921861035e-10       4.254114128977e-02       4.780668734737e-04      -2.870172849813e-06       9.014896873297e-03       9.772731553681e-01 
       1.349495557000e+02       1.045984484983e-02       1.132983815945e+03       2.029195783196e-01       1.329827161767e+04       9.781769090161e+01       1.807894118000e+06       4.242915864900e+02       9.399185965014e-04       6.254001139450e-03       3.354850857103e-02       4.339263489745e-04       4.117635526539e-02       7.727517000791e-10      -7.834421955184e-10      -1.001469750930e-12       2.274922089512e-11       9.510731375158e-01      -1.633207519811e-10       4.117635526539e-02       4.579475317164e-04      -2.734152754322e-06       9.110106350057e-03       9.775106076031e-01 
       1.334960624119e+02       1.063403113733e-02       1.140205317645e+03       1.996384287141e-01       1.329105011597e+04       9.882110953749e+01       1.787593905918e+06       4.259912708834e+02       9.003624024571e-04       6.055545725072e-03       3.248392878894e-02       4.156646878850e-04       3.985550221942e-02       7.798296051191e-10      -7.906875056661e-10      -1.005123119596e-12       2.300997858092e-11       9.507544568303e-01      -1.647614383634e-10       3.985550221942e-02       4.386749060932e-04      -2.604583630066e-06       9.206344745232e-03       9.777456363997e-01 
       1.320581090256e+02       1.081108009279e-02       1.147467024309e+03       1.964106966292e-01       1.328378840931e+04       9.983448965705e+01       1.767515766439e+06       4.276927692296e+02       8.624709190516e-04       5.863387807387e-03       3.145313083981e-02       3.981715633607e-04       3.857716175036e-02       7.869718205538e-10      -7.979997372609e-10      -1.008791421847e-12       2.327370596908e-11       9.504336906799e-01      -1.662143404156e-10       3.857716175036e-02       4.202133628044e-04      -2.481159253452e-06       9.303623178404e-03       9.779782652886e-01 
       1.306355293975e+02       1.099103843246e-02       1.154769146371e+03       1.932355030431e-01       1.327648628725e+04       1.008579245133e+02       1.747657300961e+06       4.293960668007e+02       8.261740874339e-04       5.677327550756e-03       3.045504273986e-02       3.814146317691e-04       3.733995963632e-02       7.941789224780e-10      -8.053795065485e-10      -1.012474701939e-12       2.354043653196e-11       9.501108268142e-01      -1.676795539276e-10       3.733995963632e-02       4.025287676881e-04      -2.363587952792e-06       9.401952889309e-03       9.782085175988e-01 
       1.292281591604e+02       1.117395363283e-02       1.162111895423e+03       1.901119836388e-01       1.326914353819e+04       1.018915081327e+02       1.728016136614e+06       4.311011489465e+02       7.914047971586e-04       5.497171460835e-03       2.948862652214e-02       3.653629106501e-04       3.614256632308e-02       8.014514920174e-10      -8.128274354075e-10      -1.016173004256e-12       2.381020411285e-11       9.497858529255e-01      -1.691571753165e-10       3.614256632308e-02       3.855884231088e-04      -2.251591915905e-06       9.501345239153e-03       9.784364164575e-01 
       1.278358357042e+02       1.135987394317e-02       1.169495484221e+03       1.870392885519e-01       1.326175994939e+04       1.029353353196e+02       1.708589925989e+06       4.328080010954e+02       7.580987621034e-04       5.322732183348e-03       2.855287715699e-02       3.499867214311e-04       3.498369546201e-02       8.087901153701e-10      -8.203441514001e-10      -1.019886373305e-12       2.408304293000e-11       9.494587566493e-01      -1.706473016288e-10       3.498369546201e-02       3.693610075007e-04      -2.144906530708e-06       9.601811711928e-03       9.786619847888e-01 
       1.264583981577e+02       1.154884839777e-02       1.176920126690e+03       1.840165821234e-01       1.325433530693e+04       1.039895016610e+02       1.689376346866e+06       4.345166087546e+02       7.261944016087e-04       5.153828309249e-03       2.764682150693e-02       3.352576345533e-04       3.386210249638e-02       8.161953838487e-10      -8.279302878231e-10      -1.023614853720e-12       2.435898758067e-11       9.491295255621e-01      -1.721500305418e-10       3.386210249638e-02       3.538165174570e-04      -2.043279757232e-06       9.703363915719e-03       9.788852453190e-01 
       1.250956873694e+02       1.174092682891e-02       1.184386037930e+03       1.810430426562e-01       1.324686939569e+04       1.050541035308e+02       1.670373101941e+06       4.362269575102e+02       6.956327266180e-04       4.990284186065e-03       2.676951731461e-02       3.211484169077e-04       3.277658329420e-02       8.236678939230e-10      -8.355864837592e-10      -1.027358490255e-12       2.463807304517e-11       9.487981471829e-01      -1.736654603663e-10       3.277658329420e-02       3.389262122554e-04      -1.946471529558e-06       9.806013584064e-03       9.791062205749e-01 
       1.237475458892e+02       1.193615987993e-02       1.191893434226e+03       1.781178621763e-01       1.323936199939e+04       1.061292380946e+02       1.651577918563e+06       4.379390330274e+02       6.663572306122e-04       4.831929735222e-03       2.592005222291e-02       3.076329814822e-04       3.172597282624e-02       8.312082472629e-10      -8.433133841293e-10      -1.031117327787e-12       2.492033469102e-11       9.484646089739e-01      -1.751936900480e-10       3.172597282624e-02       3.246625607181e-04      -1.854253186243e-06       9.909772577308e-03       9.793249328856e-01 
       1.224138179508e+02       1.213459901811e-02       1.199442533049e+03       1.752402461984e-01       1.323181290057e+04       1.072150033138e+02       1.632988548470e+06       4.396528210513e+02       6.383137851318e-04       4.678600275174e-03       2.509754282614e-02       2.946863391291e-04       3.070914388766e-02       8.388170507813e-10      -8.511116397443e-10      -1.034891411312e-12       2.520580827708e-11       9.481288983379e-01      -1.767348191698e-10       3.070914388766e-02       3.109991903087e-04      -1.766406927881e-06       1.001465288396e-02       9.795414043852e-01 
       1.210943494530e+02       1.233629654831e-02       1.207033553066e+03       1.724094134951e-01       1.322422188055e+04       1.083114979505e+02       1.614602767528e+06       4.413683074068e+02       6.114505396978e-04       4.530136350142e-03       2.430113375132e-02       2.822845523614e-04       2.972500586172e-02       8.464949166778e-10      -8.589819073584e-10      -1.038680785947e-12       2.549452995779e-11       9.477910026204e-01      -1.782889479536e-10       2.972500586172e-02       2.979108383712e-04      -1.682725300502e-06       1.012066662209e-02       9.797556570131e-01 
       1.197889879421e+02       1.254130562663e-02       1.214666714148e+03       1.696245958708e-01       1.321658871947e+04       1.094188215718e+02       1.596418375471e+06       4.430854779986e+02       5.857178259428e-04       4.386383564283e-03       2.352999676862e-02       2.704046910942e-04       2.877250352432e-02       8.542424624826e-10      -8.669248497218e-10      -1.042485496925e-12       2.578653628740e-11       9.474509091097e-01      -1.798561772620e-10       2.877250352432e-02       2.853733054208e-04      -1.603010703575e-06       1.022782604072e-02       9.799677125139e-01 
       1.184975825944e+02       1.274968027397e-02       1.222342237370e+03       1.668850379389e-01       1.320891319625e+04       1.105370745539e+02       1.578433195651e+06       4.448043188122e+02       5.610680657779e-04       4.247192421131e-03       2.278332993007e-02       2.590247902482e-04       2.785061588786e-02       8.620603111002e-10      -8.749411356349e-10      -1.046305589599e-12       2.608186422425e-11       9.471086050346e-01      -1.814366086004e-10       2.785061588786e-02       2.733634104009e-04      -1.527074921441e-06       1.033614352127e-02       9.801775924413e-01 
       1.172199841989e+02       1.296147539035e-02       1.230060345024e+03       1.641899969035e-01       1.320119508859e+04       1.116663580870e+02       1.560645074780e+06       4.465248159132e+02       5.374556834242e-04       4.112418168124e-03       2.206035673558e-02       2.481238091383e-04       2.695835508318e-02       8.699490908545e-10      -8.830314400020e-10      -1.050141109434e-12       2.638055113514e-11       9.467640775666e-01      -1.830303441184e-10       2.695835508318e-02       2.618589478227e-04      -1.454738677065e-06       1.044563157893e-02       9.803853181571e-01 
       1.159560451396e+02       1.317674676923e-02       1.237821260624e+03       1.615387423450e-01       1.319343417299e+04       1.128067741796e+02       1.543051882682e+06       4.482469554481e+02       5.148370211455e-04       3.981920646065e-03       2.136032532534e-02       2.376815925699e-04       2.609476527839e-02       8.779094355330e-10      -8.911964438864e-10      -1.053992102011e-12       2.668263479969e-11       9.464173138197e-01      -1.846374866120e-10       2.609476527839e-02       2.508386467087e-04      -1.385831207029e-06       1.055630286416e-02       9.805909108339e-01 
       1.147056193788e+02       1.339555111172e-02       1.245625208909e+03       1.589305560085e-01       1.318563022471e+04       1.139584256624e+02       1.525651512050e+06       4.499707236445e+02       4.931702585285e-04       3.855564143369e-03       2.068250769800e-02       2.276788335742e-04       2.525892163316e-02       8.859419844322e-10      -8.994368345647e-10      -1.057858613023e-12       2.698815341475e-11       9.460683008487e-01      -1.862581395250e-10       2.525892163316e-02       2.402821312641e-04      -1.320189856767e-06       1.066817016412e-02       9.807943914565e-01 
       1.134685624404e+02       1.361794604166e-02       1.253472415856e+03       1.563647315973e-01       1.317778301776e+04       1.151214161934e+02       1.508441878195e+06       4.516961068110e+02       4.724153351598e-04       3.733217254925e-03       2.002619895356e-02       2.180970377099e-04       2.444992928751e-02       8.940473824032e-10      -9.077533055833e-10      -1.061740688274e-12       2.729714559891e-11       9.457170256507e-01      -1.878924069505e-10       2.444992928751e-02       2.301698832033e-04      -1.257659695069e-06       1.078124640418e-02       9.809957808215e-01 
       1.122447313926e+02       1.384399012064e-02       1.261363108679e+03       1.538405745693e-01       1.316989232494e+04       1.162958502615e+02       1.491420918807e+06       4.534230913373e+02       4.525338765562e-04       3.614752745443e-03       1.939071656026e-02       2.089184888694e-04       2.366692238382e-02       9.022262798975e-10      -9.161465568138e-10      -1.065638373680e-12       2.760965039699e-11       9.453634751656e-01      -1.895403936332e-10       2.366692238382e-02       2.204832056620e-04      -1.198093146932e-06       1.089554464937e-02       9.811950995386e-01 
       1.110339848320e+02       1.407374286287e-02       1.269297515844e+03       1.513574019366e-01       1.316195791777e+04       1.174818331912e+02       1.474586593719e+06       4.551516636947e+02       4.334891232134e-04       3.500047417129e-03       1.877539964486e-02       2.001262165216e-04       2.290906312100e-02       9.104793330126e-10      -9.246172945094e-10      -1.069551715264e-12       2.792570728459e-11       9.450076362735e-01      -1.912022049702e-10       2.290906312100e-02       2.112041886277e-04      -1.141349643895e-06       1.101107810592e-02       9.813923680345e-01 
       1.098361828668e+02       1.430726475103e-02       1.277275867067e+03       1.489145420695e-01       1.315397956655e+04       1.186794711467e+02       1.457936884664e+06       4.568818104360e+02       4.152458626398e-04       3.388981981575e-03       1.817960830528e-02       1.917039643356e-04       2.217554083976e-02       9.188072035391e-10      -9.331662313623e-10      -1.073480759156e-12       2.824535617271e-11       9.446494957975e-01      -1.928779470129e-10       2.217554083976e-02       2.023156758256e-04      -1.087295291011e-06       1.112786012277e-02       9.815876065516e-01 
